INDEX,X,Y,Loc,Axial,Type
0,0,11.5,Top,4.771517195,Col
1,0,15,Bot,4.771517195,Col
2,6,11.5,Top,3.058664869,Col
3,6,15,Bot,3.058664869,Col
4,11,11.5,Top,1.63128793,Col
5,11,15,Bot,1.63128793,Col
6,17,11.5,Top,-0.081564396,Col
7,17,15,Bot,-0.081564396,Col
8,22,11.5,Top,-1.508941335,Col
9,22,15,Bot,-1.508941335,Col
10,28,11.5,Top,-3.221793661,Col
11,28,15,Bot,-3.221793661,Col
12,33,11.5,Top,-4.6491706,Col
13,33,15,Bot,-4.6491706,Col
14,0,8,Top,17.51144049,Col
15,0,11.5,Bot,17.51144049,Col
16,6,8,Top,11.22528237,Col
17,6,11.5,Bot,11.22528237,Col
18,11,8,Top,5.986817262,Col
19,11,11.5,Bot,5.986817262,Col
20,17,8,Top,-0.299340863,Col
21,17,11.5,Bot,-0.299340863,Col
22,22,8,Top,-5.537805968,Col
23,22,11.5,Bot,-5.537805968,Col
24,28,8,Top,-11.82396409,Col
25,28,11.5,Bot,-11.82396409,Col
26,33,8,Top,-17.0624292,Col
27,33,11.5,Bot,-17.0624292,Col
28,0,4.5,Top,35.57962702,Col
29,0,8,Bot,35.57962702,Col
30,6,4.5,Top,22.80745322,Col
31,6,8,Bot,22.80745322,Col
32,11,4.5,Top,12.16397505,Col
33,11,8,Bot,12.16397505,Col
34,17,4.5,Top,-0.608198753,Col
35,17,8,Bot,-0.608198753,Col
36,22,4.5,Top,-11.25167692,Col
37,22,8,Bot,-11.25167692,Col
38,28,4.5,Top,-24.02385072,Col
39,28,8,Bot,-24.02385072,Col
40,33,4.5,Top,-34.66732889,Col
41,33,8,Bot,-34.66732889,Col
42,0,0,Top,59.82044125,Col
43,0,4.5,Bot,59.82044125,Col
44,6,0,Top,38.3464367,Col
45,6,4.5,Bot,38.3464367,Col
46,11,0,Top,20.45143291,Col
47,11,4.5,Bot,20.45143291,Col
48,17,0,Top,-1.022571645,Col
49,17,4.5,Bot,-1.022571645,Col
50,22,0,Top,-18.91757544,Col
51,22,4.5,Bot,-18.91757544,Col
52,28,0,Top,-40.39157999,Col
53,28,4.5,Bot,-40.39157999,Col
54,33,0,Top,-58.28658378,Col
55,33,4.5,Bot,-58.28658378,Col
56,0,15,Right,131.0827242,Beam
57,6,15,Left,131.0827242,Beam
58,6,15,Right,-148.0277276,Beam
59,11,15,Left,-148.0277276,Beam
60,11,15,Right,124.047795,Beam
61,17,15,Left,124.047795,Beam
62,17,15,Right,-149.964882,Beam
63,22,15,Left,-149.964882,Beam
64,22,15,Right,126.4335536,Beam
65,28,15,Left,126.4335536,Beam
66,28,15,Right,-144.0514633,Beam
67,33,15,Left,-144.0514633,Beam
68,0,11.5,Right,207.765912,Beam
69,6,11.5,Left,207.765912,Beam
70,6,11.5,Right,-262.4416588,Beam
71,11,11.5,Left,-262.4416588,Beam
72,11,11.5,Right,185.0665947,Beam
73,17,11.5,Left,185.0665947,Beam
74,17,11.5,Right,-268.6921954,Beam
75,22,11.5,Left,-268.6921954,Beam
76,22,11.5,Right,192.7646241,Beam
77,28,11.5,Left,192.7646241,Beam
78,28,11.5,Right,-249.6116099,Beam
79,33,11.5,Left,-249.6116099,Beam
80,0,8,Right,261.5235172,Beam
81,6,8,Left,261.5235172,Beam
82,6,8,Right,-335.1214295,Beam
83,11,8,Left,-335.1214295,Beam
84,11,8,Right,230.9684272,Beam
85,17,8,Left,230.9684272,Beam
86,17,8,Right,-343.53515,Beam
87,22,8,Left,-343.53515,Beam
88,22,8,Right,241.3305881,Beam
89,28,8,Left,241.3305881,Beam
90,28,8,Right,-317.8511613,Beam
91,33,8,Left,-317.8511613,Beam
92,0,4.5,Right,282.2887787,Beam
93,6,4.5,Left,282.2887787,Beam
94,6,4.5,Right,-368.3747471,Beam
95,11,4.5,Left,-368.3747471,Beam
96,11,4.5,Right,246.5491167,Beam
97,17,4.5,Left,246.5491167,Beam
98,17,4.5,Right,-378.2161033,Beam
99,22,4.5,Left,-378.2161033,Beam
100,22,4.5,Right,258.6695238,Beam
101,28,4.5,Left,258.6695238,Beam
102,28,4.5,Right,-348.1740686,Beam
103,33,4.5,Left,-348.1740686,Beam
