INDEX,X,Y,Loc,Shear,Type
0,0,15,Right,4.771517195,Beam
1,6,15,Left,4.771517195,Beam
2,6,15,Right,7.830182063,Beam
3,11,15,Left,7.830182063,Beam
4,11,15,Right,9.461469993,Beam
5,17,15,Left,9.461469993,Beam
6,17,15,Right,9.379905597,Beam
7,22,15,Left,9.379905597,Beam
8,22,15,Right,7.870964262,Beam
9,28,15,Left,7.870964262,Beam
10,28,15,Right,4.6491706,Beam
11,33,15,Left,4.6491706,Beam
12,0,11.5,Right,12.7399233,Beam
13,6,11.5,Left,12.7399233,Beam
14,6,11.5,Right,20.9065408,Beam
15,11,11.5,Left,20.9065408,Beam
16,11,11.5,Right,25.26207013,Beam
17,17,11.5,Left,25.26207013,Beam
18,17,11.5,Right,25.04429366,Beam
19,22,11.5,Left,25.04429366,Beam
20,22,11.5,Right,21.01542903,Beam
21,28,11.5,Left,21.01542903,Beam
22,28,11.5,Right,12.4132586,Beam
23,33,11.5,Left,12.4132586,Beam
24,0,8,Right,18.06818653,Beam
25,6,8,Left,18.06818653,Beam
26,6,8,Right,29.65035738,Beam
27,11,8,Left,29.65035738,Beam
28,11,8,Right,35.82751517,Beam
29,17,8,Left,35.82751517,Beam
30,17,8,Right,35.51865728,Beam
31,22,8,Left,35.51865728,Beam
32,22,8,Right,29.80478633,Beam
33,28,8,Left,29.80478633,Beam
34,28,8,Right,17.6048997,Beam
35,33,8,Left,17.6048997,Beam
36,0,4.5,Right,24.24081423,Beam
37,6,4.5,Left,24.24081423,Beam
38,6,4.5,Right,39.77979771,Beam
39,11,4.5,Left,39.77979771,Beam
40,11,4.5,Right,48.06725556,Beam
41,17,4.5,Left,48.06725556,Beam
42,17,4.5,Right,47.65288267,Beam
43,22,4.5,Left,47.65288267,Beam
44,22,4.5,Right,39.98698415,Beam
45,28,4.5,Left,39.98698415,Beam
46,28,4.5,Right,23.61925489,Beam
47,33,4.5,Left,23.61925489,Beam
48,0,11.5,Top,7.157275792,Col
49,0,15,Bot,7.157275792,Col
50,6,11.5,Top,16.94500337,Col
51,6,15,Bot,16.94500337,Col
52,11,11.5,Top,23.97993257,Col
53,11,15,Bot,23.97993257,Col
54,17,11.5,Top,25.91708699,Col
55,17,15,Bot,25.91708699,Col
56,22,11.5,Top,23.53132839,Col
57,22,15,Bot,23.53132839,Col
58,28,11.5,Top,17.61790964,Col
59,28,15,Bot,17.61790964,Col
60,33,11.5,Top,5.81146325,Col
61,33,15,Bot,5.81146325,Col
62,0,8,Top,15.9368122,Col
63,0,11.5,Bot,15.9368122,Col
64,6,8,Top,37.73074343,Col
65,6,11.5,Bot,37.73074343,Col
66,11,8,Top,53.39513149,Col
67,11,11.5,Bot,53.39513149,Col
68,17,8,Top,57.70851371,Col
69,17,11.5,Bot,57.70851371,Col
70,22,8,Top,52.39624298,Col
71,22,11.5,Bot,52.39624298,Col
72,28,8,Top,39.2290762,Col
73,28,11.5,Bot,39.2290762,Col
74,33,8,Top,12.94014666,Col
75,33,11.5,Bot,12.94014666,Col
76,0,4.5,Top,15.14967064,Col
77,0,8,Bot,15.14967064,Col
78,6,4.5,Top,35.86716896,Col
79,6,8,Bot,35.86716896,Col
80,11,4.5,Top,50.75787087,Col
81,11,8,Bot,50.75787087,Col
82,17,4.5,Top,54.85820908,Col
83,17,8,Bot,54.85820908,Col
84,22,4.5,Top,49.80831886,Col
85,22,8,Bot,49.80831886,Col
86,28,4.5,Top,37.29149697,Col
87,28,8,Bot,37.29149697,Col
88,33,4.5,Top,12.30101462,Col
89,33,8,Bot,12.30101462,Col
90,0,0,Top,21.2115507,Col
91,0,4.5,Bot,21.2115507,Col
92,6,0,Top,50.21879952,Col
93,6,4.5,Bot,50.21879952,Col
94,11,0,Top,71.06775961,Col
95,11,4.5,Bot,71.06775961,Col
96,17,0,Top,76.8087776,Col
97,17,4.5,Bot,76.8087776,Col
98,22,0,Top,69.7382607,Col
99,22,4.5,Bot,69.7382607,Col
100,28,0,Top,52.21304788,Col
101,28,4.5,Bot,52.21304788,Col
102,33,0,Top,17.22305399,Col
103,33,4.5,Bot,17.22305399,Col
