INDEX,X,Y,Loc,Moment,Type
0,0,15,Right,0.736293525,Beam
1,5,15,Left,0.736293525,Beam
2,5,15,Right,1.298201741,Beam
3,10,15,Left,1.298201741,Beam
4,10,15,Right,1.685724649,Beam
5,15,15,Left,1.685724649,Beam
6,15,15,Right,1.898862248,Beam
7,20,15,Left,1.898862248,Beam
8,20,15,Right,2.325137447,Beam
9,26,15,Left,2.325137447,Beam
10,26,15,Right,2.120525351,Beam
11,32,15,Left,2.120525351,Beam
12,32,15,Right,1.664798412,Beam
13,38,15,Left,1.664798412,Beam
14,38,15,Right,0.957956628,Beam
15,44,15,Left,0.957956628,Beam
16,0,11.5,Right,1.966157605,Beam
17,5,11.5,Left,1.966157605,Beam
18,5,11.5,Right,3.466646304,Beam
19,10,11.5,Left,3.466646304,Beam
20,10,11.5,Right,4.501466097,Beam
21,15,11.5,Left,4.501466097,Beam
22,15,11.5,Right,5.070616982,Beam
23,20,11.5,Left,5.070616982,Beam
24,20,11.5,Right,6.208918754,Beam
25,26,11.5,Left,6.208918754,Beam
26,26,11.5,Right,5.662533903,Beam
27,32,11.5,Left,5.662533903,Beam
28,32,11.5,Right,4.445585828,Beam
29,38,11.5,Left,4.445585828,Beam
30,38,11.5,Right,2.558074527,Beam
31,44,11.5,Left,2.558074527,Beam
32,0,8,Right,2.789282987,Beam
33,5,8,Left,2.789282987,Beam
34,5,8,Right,4.917946319,Beam
35,10,8,Left,4.917946319,Beam
36,10,8,Right,6.385989997,Beam
37,15,8,Left,6.385989997,Beam
38,15,8,Right,7.19341402,Beam
39,20,8,Left,7.19341402,Beam
40,20,8,Right,8.808262065,Beam
41,26,8,Left,8.808262065,Beam
42,26,8,Right,8.033135003,Beam
43,32,8,Left,8.033135003,Beam
44,32,8,Right,6.306715638,Beam
45,38,8,Left,6.306715638,Beam
46,38,8,Right,3.629003971,Beam
47,44,8,Left,3.629003971,Beam
48,0,4.5,Right,3.742619884,Beam
49,5,4.5,Left,3.742619884,Beam
50,5,4.5,Right,6.598829795,Beam
51,10,4.5,Left,6.598829795,Beam
52,10,4.5,Right,8.568629734,Beam
53,15,4.5,Left,8.568629734,Beam
54,15,4.5,Right,9.652019701,Beam
55,20,4.5,Left,9.652019701,Beam
56,20,4.5,Right,11.81879963,Beam
57,26,4.5,Left,11.81879963,Beam
58,26,4.5,Right,10.77874527,Beam
59,32,4.5,Left,10.77874527,Beam
60,32,4.5,Right,8.462260538,Beam
61,38,4.5,Left,8.462260538,Beam
62,38,4.5,Right,4.869345449,Beam
63,44,4.5,Left,4.869345449,Beam
64,0,11.5,Top,0.736293525,Col
65,0,15,Bot,0.736293525,Col
66,5,11.5,Top,2.034495266,Col
67,5,15,Bot,2.034495266,Col
68,10,11.5,Top,2.98392639,Col
69,10,15,Bot,2.98392639,Col
70,15,11.5,Top,3.584586897,Col
71,15,15,Bot,3.584586897,Col
72,20,11.5,Top,4.223999695,Col
73,20,15,Bot,4.223999695,Col
74,26,11.5,Top,4.445662798,Col
75,26,15,Bot,4.445662798,Col
76,32,11.5,Top,3.785323763,Col
77,32,15,Bot,3.785323763,Col
78,38,11.5,Top,2.62275504,Col
79,38,15,Bot,2.62275504,Col
80,44,11.5,Top,0.957956628,Col
81,44,15,Bot,0.957956628,Col
82,0,8,Top,1.229864081,Col
83,0,11.5,Bot,1.229864081,Col
84,5,8,Top,3.398308644,Col
85,5,11.5,Bot,3.398308644,Col
86,10,8,Top,4.984186011,Col
87,10,11.5,Bot,4.984186011,Col
88,15,8,Top,5.987496182,Col
89,15,11.5,Bot,5.987496182,Col
90,20,8,Top,7.055536042,Col
91,20,11.5,Bot,7.055536042,Col
92,26,8,Top,7.425789859,Col
93,26,11.5,Bot,7.425789859,Col
94,32,8,Top,6.322795968,Col
95,32,11.5,Bot,6.322795968,Col
96,38,8,Top,4.380905315,Col
97,38,11.5,Bot,4.380905315,Col
98,44,8,Top,1.600117899,Col
99,44,11.5,Bot,1.600117899,Col
100,0,4.5,Top,1.559418907,Col
101,0,8,Bot,1.559418907,Col
102,5,4.5,Top,4.308920663,Col
103,5,8,Bot,4.308920663,Col
104,10,4.5,Top,6.319750305,Col
105,10,8,Bot,6.319750305,Col
106,15,4.5,Top,7.591907834,Col
107,15,8,Bot,7.591907834,Col
108,20,4.5,Top,8.946140043,Col
109,20,8,Bot,8.946140043,Col
110,26,4.5,Top,9.415607208,Col
111,26,8,Bot,9.415607208,Col
112,32,4.5,Top,8.017054673,Col
113,32,8,Bot,8.017054673,Col
114,38,4.5,Top,5.554814294,Col
115,38,8,Bot,5.554814294,Col
116,44,4.5,Top,2.028886072,Col
117,44,8,Bot,2.028886072,Col
118,0,0,Top,2.183200977,Col
119,0,4.5,Bot,2.183200977,Col
120,5,0,Top,6.032529016,Col
121,5,4.5,Bot,6.032529016,Col
122,10,0,Top,8.847709224,Col
123,10,4.5,Bot,8.847709224,Col
124,15,0,Top,10.6287416,Col
125,15,4.5,Bot,10.6287416,Col
126,20,0,Top,12.52467929,Col
127,20,4.5,Bot,12.52467929,Col
128,26,0,Top,13.18193769,Col
129,26,4.5,Bot,13.18193769,Col
130,32,0,Top,11.22395113,Col
131,32,4.5,Bot,11.22395113,Col
132,38,0,Top,7.776791692,Col
133,38,4.5,Bot,7.776791692,Col
134,44,0,Top,2.840459377,Col
135,44,4.5,Bot,2.840459377,Col
