INDEX,X,Y,Loc,Shear,Type
0,0,15,Right,0.29451741,Beam
1,5,15,Left,0.29451741,Beam
2,5,15,Right,0.519280696,Beam
3,10,15,Left,0.519280696,Beam
4,10,15,Right,0.674289859,Beam
5,15,15,Left,0.674289859,Beam
6,15,15,Right,0.759544899,Beam
7,20,15,Left,0.759544899,Beam
8,20,15,Right,0.775045816,Beam
9,26,15,Left,0.775045816,Beam
10,26,15,Right,0.706841784,Beam
11,32,15,Left,0.706841784,Beam
12,32,15,Right,0.554932804,Beam
13,38,15,Left,0.554932804,Beam
14,38,15,Right,0.319318876,Beam
15,44,15,Left,0.319318876,Beam
16,0,11.5,Right,0.786463042,Beam
17,5,11.5,Left,0.786463042,Beam
18,5,11.5,Right,1.386658522,Beam
19,10,11.5,Left,1.386658522,Beam
20,10,11.5,Right,1.800586439,Beam
21,15,11.5,Left,1.800586439,Beam
22,15,11.5,Right,2.028246793,Beam
23,20,11.5,Left,2.028246793,Beam
24,20,11.5,Right,2.069639585,Beam
25,26,11.5,Left,2.069639585,Beam
26,26,11.5,Right,1.887511301,Beam
27,32,11.5,Left,1.887511301,Beam
28,32,11.5,Right,1.481861943,Beam
29,38,11.5,Left,1.481861943,Beam
30,38,11.5,Right,0.852691509,Beam
31,44,11.5,Left,0.852691509,Beam
32,0,8,Right,1.115713195,Beam
33,5,8,Left,1.115713195,Beam
34,5,8,Right,1.967178528,Beam
35,10,8,Left,1.967178528,Beam
36,10,8,Right,2.554395999,Beam
37,15,8,Left,2.554395999,Beam
38,15,8,Right,2.877365608,Beam
39,20,8,Left,2.877365608,Beam
40,20,8,Right,2.936087355,Beam
41,26,8,Left,2.936087355,Beam
42,26,8,Right,2.677711668,Beam
43,32,8,Left,2.677711668,Beam
44,32,8,Right,2.102238546,Beam
45,38,8,Left,2.102238546,Beam
46,38,8,Right,1.20966799,Beam
47,44,8,Left,1.20966799,Beam
48,0,4.5,Right,1.497047954,Beam
49,5,4.5,Left,1.497047954,Beam
50,5,4.5,Right,2.639531918,Beam
51,10,4.5,Left,2.639531918,Beam
52,10,4.5,Right,3.427451894,Beam
53,15,4.5,Left,3.427451894,Beam
54,15,4.5,Right,3.86080788,Beam
55,20,4.5,Left,3.86080788,Beam
56,20,4.5,Right,3.939599878,Beam
57,26,4.5,Left,3.939599878,Beam
58,26,4.5,Right,3.592915089,Beam
59,32,4.5,Left,3.592915089,Beam
60,32,4.5,Right,2.820753513,Beam
61,38,4.5,Left,2.820753513,Beam
62,38,4.5,Right,1.62311515,Beam
63,44,4.5,Left,1.62311515,Beam
64,0,11.5,Top,0.368146762,Col
65,0,15,Bot,0.368146762,Col
66,5,11.5,Top,1.017247633,Col
67,5,15,Bot,1.017247633,Col
68,10,11.5,Top,1.491963195,Col
69,10,15,Bot,1.491963195,Col
70,15,11.5,Top,1.792293448,Col
71,15,15,Bot,1.792293448,Col
72,20,11.5,Top,2.111999847,Col
73,20,15,Bot,2.111999847,Col
74,26,11.5,Top,2.222831399,Col
75,26,15,Bot,2.222831399,Col
76,32,11.5,Top,1.892661881,Col
77,32,15,Bot,1.892661881,Col
78,38,11.5,Top,1.31137752,Col
79,38,15,Bot,1.31137752,Col
80,44,11.5,Top,0.478978314,Col
81,44,15,Bot,0.478978314,Col
82,0,8,Top,0.819909387,Col
83,0,11.5,Bot,0.819909387,Col
84,5,8,Top,2.265539096,Col
85,5,11.5,Bot,2.265539096,Col
86,10,8,Top,3.322790674,Col
87,10,11.5,Bot,3.322790674,Col
88,15,8,Top,3.991664121,Col
89,15,11.5,Bot,3.991664121,Col
90,20,8,Top,4.703690694,Col
91,20,11.5,Bot,4.703690694,Col
92,26,8,Top,4.950526573,Col
93,26,11.5,Bot,4.950526573,Col
94,32,8,Top,4.215197312,Col
95,32,11.5,Bot,4.215197312,Col
96,38,8,Top,2.920603543,Col
97,38,11.5,Bot,2.920603543,Col
98,44,8,Top,1.066745266,Col
99,44,11.5,Bot,1.066745266,Col
100,0,4.5,Top,0.779709453,Col
101,0,8,Bot,0.779709453,Col
102,5,4.5,Top,2.154460331,Col
103,5,8,Bot,2.154460331,Col
104,10,4.5,Top,3.159875153,Col
105,10,8,Bot,3.159875153,Col
106,15,4.5,Top,3.795953917,Col
107,15,8,Bot,3.795953917,Col
108,20,4.5,Top,4.473070021,Col
109,20,8,Bot,4.473070021,Col
110,26,4.5,Top,4.707803604,Col
111,26,8,Bot,4.707803604,Col
112,32,4.5,Top,4.008527337,Col
113,32,8,Bot,4.008527337,Col
114,38,4.5,Top,2.777407147,Col
115,38,8,Bot,2.777407147,Col
116,44,4.5,Top,1.014443036,Col
117,44,8,Bot,1.014443036,Col
118,0,0,Top,1.091600489,Col
119,0,4.5,Bot,1.091600489,Col
120,5,0,Top,3.016264508,Col
121,5,4.5,Bot,3.016264508,Col
122,10,0,Top,4.423854612,Col
123,10,4.5,Bot,4.423854612,Col
124,15,0,Top,5.3143708,Col
125,15,4.5,Bot,5.3143708,Col
126,20,0,Top,6.262339646,Col
127,20,4.5,Bot,6.262339646,Col
128,26,0,Top,6.590968845,Col
129,26,4.5,Bot,6.590968845,Col
130,32,0,Top,5.611975565,Col
131,32,4.5,Bot,5.611975565,Col
132,38,0,Top,3.888395846,Col
133,38,4.5,Bot,3.888395846,Col
134,44,0,Top,1.420229688,Col
135,44,4.5,Bot,1.420229688,Col
