,X,Y,Loc,Value,Type
0,0.0,15.0,Bot,0.44641275465013286,Col
1,6.0,15.0,Bot,0.6395201291959856,Col
2,11.0,15.0,Bot,0.6395201291959856,Col
3,17.0,15.0,Bot,0.6395201291959856,Col
4,22.0,15.0,Bot,0.6395201291959856,Col
5,28.0,15.0,Bot,0.6395201291959856,Col
6,33.0,15.0,Bot,0.49178728248495696,Col
7,0.0,11.5,Top,0.2873432155074116,Col
8,0.0,11.5,Bot,0.2873432155074116,Col
9,6.0,11.5,Top,0.47006952687807346,Col
10,6.0,11.5,Bot,0.47006952687807346,Col
11,11.0,11.5,Top,0.47006952687807346,Col
12,11.0,11.5,Bot,0.47006952687807346,Col
13,17.0,11.5,Top,0.47006952687807346,Col
14,17.0,11.5,Bot,0.47006952687807346,Col
15,22.0,11.5,Top,0.47006952687807346,Col
16,22.0,11.5,Bot,0.47006952687807346,Col
17,28.0,11.5,Top,0.47006952687807346,Col
18,28.0,11.5,Bot,0.47006952687807346,Col
19,33.0,11.5,Top,0.326072891956006,Col
20,33.0,11.5,Bot,0.326072891956006,Col
21,0.0,8.0,Top,0.2873432155074116,Col
22,0.0,8.0,Bot,0.2873432155074116,Col
23,6.0,8.0,Top,0.47006952687807346,Col
24,6.0,8.0,Bot,0.47006952687807346,Col
25,11.0,8.0,Top,0.47006952687807346,Col
26,11.0,8.0,Bot,0.47006952687807346,Col
27,17.0,8.0,Top,0.47006952687807346,Col
28,17.0,8.0,Bot,0.47006952687807346,Col
29,22.0,8.0,Top,0.47006952687807346,Col
30,22.0,8.0,Bot,0.47006952687807346,Col
31,28.0,8.0,Top,0.47006952687807346,Col
32,28.0,8.0,Bot,0.47006952687807346,Col
33,33.0,8.0,Top,0.326072891956006,Col
34,33.0,8.0,Bot,0.326072891956006,Col
35,0.0,4.5,Top,0.31205283434232256,Col
36,0.0,4.5,Bot,0.31205283434232256,Col
37,6.0,4.5,Top,0.4994794586369824,Col
38,6.0,4.5,Bot,0.4994794586369824,Col
39,11.0,4.5,Top,0.4994794586369824,Col
40,11.0,4.5,Bot,0.4994794586369824,Col
41,17.0,4.5,Top,0.4994794586369824,Col
42,17.0,4.5,Bot,0.4994794586369824,Col
43,22.0,4.5,Top,0.4994794586369824,Col
44,22.0,4.5,Bot,0.4994794586369824,Col
45,28.0,4.5,Top,0.4994794586369824,Col
46,28.0,4.5,Bot,0.4994794586369824,Col
47,33.0,4.5,Top,0.3524658101947783,Col
48,33.0,4.5,Bot,0.3524658101947783,Col
