,X,Y,Loc,Value,Type
0,0.0,15.0,Right,0.5535872453498671,Beam
1,0.0,15.0,Left,0.5535872453498671,Beam
2,6.0,15.0,Right,0.3604798708040144,Beam
3,6.0,15.0,Left,0.3604798708040144,Beam
4,11.0,15.0,Right,0.3604798708040144,Beam
5,11.0,15.0,Left,0.3604798708040144,Beam
6,17.0,15.0,Right,0.3604798708040144,Beam
7,17.0,15.0,Left,0.3604798708040144,Beam
8,22.0,15.0,Right,0.3604798708040144,Beam
9,22.0,15.0,Left,0.3604798708040144,Beam
10,28.0,15.0,Right,0.3604798708040144,Beam
11,28.0,15.0,Left,0.3604798708040144,Beam
12,33.0,15.0,Left,0.508212717515043,Beam
13,0.0,11.5,Right,0.7126567844925884,Beam
14,0.0,11.5,Left,0.7126567844925884,Beam
15,6.0,11.5,Right,0.5299304731219265,Beam
16,6.0,11.5,Left,0.5299304731219265,Beam
17,11.0,11.5,Right,0.5299304731219265,Beam
18,11.0,11.5,Left,0.5299304731219265,Beam
19,17.0,11.5,Right,0.5299304731219265,Beam
20,17.0,11.5,Left,0.5299304731219265,Beam
21,22.0,11.5,Right,0.5299304731219265,Beam
22,22.0,11.5,Left,0.5299304731219265,Beam
23,28.0,11.5,Right,0.5299304731219265,Beam
24,28.0,11.5,Left,0.5299304731219265,Beam
25,33.0,11.5,Left,0.673927108043994,Beam
26,0.0,8.0,Right,0.7126567844925884,Beam
27,0.0,8.0,Left,0.7126567844925884,Beam
28,6.0,8.0,Right,0.5299304731219265,Beam
29,6.0,8.0,Left,0.5299304731219265,Beam
30,11.0,8.0,Right,0.5299304731219265,Beam
31,11.0,8.0,Left,0.5299304731219265,Beam
32,17.0,8.0,Right,0.5299304731219265,Beam
33,17.0,8.0,Left,0.5299304731219265,Beam
34,22.0,8.0,Right,0.5299304731219265,Beam
35,22.0,8.0,Left,0.5299304731219265,Beam
36,28.0,8.0,Right,0.5299304731219265,Beam
37,28.0,8.0,Left,0.5299304731219265,Beam
38,33.0,8.0,Left,0.673927108043994,Beam
39,0.0,4.5,Right,0.6879471656576774,Beam
40,0.0,4.5,Left,0.6879471656576774,Beam
41,6.0,4.5,Right,0.5005205413630176,Beam
42,6.0,4.5,Left,0.5005205413630176,Beam
43,11.0,4.5,Right,0.5005205413630176,Beam
44,11.0,4.5,Left,0.5005205413630176,Beam
45,17.0,4.5,Right,0.5005205413630176,Beam
46,17.0,4.5,Left,0.5005205413630176,Beam
47,22.0,4.5,Right,0.5005205413630176,Beam
48,22.0,4.5,Left,0.5005205413630176,Beam
49,28.0,4.5,Right,0.5005205413630176,Beam
50,28.0,4.5,Left,0.5005205413630176,Beam
51,33.0,4.5,Left,0.6475341898052217,Beam
