,X,Y,Loc,Value,Type
0,0.0,11.5,Top,0.510549592832478,Col
1,0.0,15.0,Bot,0.5900843624038387,Col
2,6.0,11.5,Top,0.7898295914760662,Col
3,6.0,15.0,Bot,0.8745548926350223,Col
4,11.0,11.5,Top,0.7898295914760662,Col
5,11.0,15.0,Bot,0.8745548926350223,Col
6,17.0,11.5,Top,0.7898295914760662,Col
7,17.0,15.0,Bot,0.8745548926350223,Col
8,22.0,11.5,Top,0.7898295914760662,Col
9,22.0,15.0,Bot,0.8745548926350223,Col
10,28.0,11.5,Top,0.7898295914760662,Col
11,28.0,15.0,Bot,0.8745548926350223,Col
12,33.0,11.5,Top,0.5719665331984845,Col
13,33.0,15.0,Bot,0.6548237284629599,Col
14,0.0,8.0,Top,0.4310148232611174,Col
15,0.0,11.5,Bot,0.4310148232611174,Col
16,6.0,8.0,Top,0.7051042903171102,Col
17,6.0,11.5,Bot,0.7051042903171102,Col
18,11.0,8.0,Top,0.7051042903171102,Col
19,11.0,11.5,Bot,0.7051042903171102,Col
20,17.0,8.0,Top,0.7051042903171102,Col
21,17.0,11.5,Bot,0.7051042903171102,Col
22,22.0,8.0,Top,0.7051042903171102,Col
23,22.0,11.5,Bot,0.7051042903171102,Col
24,28.0,8.0,Top,0.7051042903171102,Col
25,28.0,11.5,Bot,0.7051042903171102,Col
26,33.0,8.0,Top,0.48910933793400896,Col
27,33.0,11.5,Bot,0.48910933793400896,Col
28,0.0,4.5,Top,0.45572444209602836,Col
29,0.0,8.0,Bot,0.4433696326785729,Col
30,6.0,4.5,Top,0.7345142220760191,Col
31,6.0,8.0,Bot,0.7198092561965647,Col
32,11.0,4.5,Top,0.7345142220760191,Col
33,11.0,8.0,Bot,0.7198092561965647,Col
34,17.0,4.5,Top,0.7345142220760191,Col
35,17.0,8.0,Bot,0.7198092561965647,Col
36,22.0,4.5,Top,0.7345142220760191,Col
37,22.0,8.0,Bot,0.7198092561965647,Col
38,28.0,4.5,Top,0.7345142220760191,Col
39,28.0,8.0,Bot,0.7198092561965647,Col
40,33.0,4.5,Top,0.5155022561727813,Col
41,33.0,8.0,Bot,0.5023057970533951,Col
42,0.0,0.0,Top,1.1560264171711614,Col
43,0.0,4.5,Bot,0.8120528343423226,Col
44,6.0,0.0,Top,1.2497397293184913,Col
45,6.0,4.5,Bot,0.9994794586369824,Col
46,11.0,0.0,Top,1.2497397293184913,Col
47,11.0,4.5,Bot,0.9994794586369824,Col
48,17.0,0.0,Top,1.2497397293184913,Col
49,17.0,4.5,Bot,0.9994794586369824,Col
50,22.0,0.0,Top,1.2497397293184913,Col
51,22.0,4.5,Bot,0.9994794586369824,Col
52,28.0,0.0,Top,1.2497397293184913,Col
53,28.0,4.5,Bot,0.9994794586369824,Col
54,33.0,0.0,Top,1.1762329050973892,Col
55,33.0,4.5,Bot,0.8524658101947783,Col
56,0.0,15.0,Right,0.7338271807518744,Beam
57,6.0,15.0,Left,0.6372734934789479,Beam
58,6.0,15.0,Right,0.5407198062060216,Beam
59,11.0,15.0,Left,0.5407198062060216,Beam
60,11.0,15.0,Right,0.5407198062060216,Beam
61,17.0,15.0,Left,0.5407198062060216,Beam
62,17.0,15.0,Right,0.5407198062060216,Beam
63,22.0,15.0,Left,0.5407198062060216,Beam
64,22.0,15.0,Right,0.5407198062060216,Beam
65,28.0,15.0,Left,0.5407198062060216,Beam
66,28.0,15.0,Right,0.6145862295615359,Beam
67,33.0,15.0,Left,0.6884526529170503,Beam
68,0.0,11.5,Right,0.9776220210535517,Beam
69,6.0,11.5,Left,0.8862588653682207,Beam
70,6.0,11.5,Right,0.7948957096828898,Beam
71,11.0,11.5,Left,0.7948957096828898,Beam
72,11.0,11.5,Right,0.7948957096828898,Beam
73,17.0,11.5,Left,0.7948957096828898,Beam
74,17.0,11.5,Right,0.7948957096828898,Beam
75,22.0,11.5,Left,0.7948957096828898,Beam
76,22.0,11.5,Right,0.7948957096828898,Beam
77,28.0,11.5,Left,0.7948957096828898,Beam
78,28.0,11.5,Right,0.8668940271439236,Beam
79,33.0,11.5,Left,0.9388923446049573,Beam
80,0.0,8.0,Right,0.9776220210535517,Beam
81,6.0,8.0,Left,0.8862588653682207,Beam
82,6.0,8.0,Right,0.7948957096828898,Beam
83,11.0,8.0,Left,0.7948957096828898,Beam
84,11.0,8.0,Right,0.7948957096828898,Beam
85,17.0,8.0,Left,0.7948957096828898,Beam
86,17.0,8.0,Right,0.7948957096828898,Beam
87,22.0,8.0,Left,0.7948957096828898,Beam
88,22.0,8.0,Right,0.7948957096828898,Beam
89,28.0,8.0,Left,0.7948957096828898,Beam
90,28.0,8.0,Right,0.8668940271439236,Beam
91,33.0,8.0,Left,0.9388923446049573,Beam
92,0.0,4.5,Right,0.9382074363391862,Beam
93,6.0,4.5,Left,0.8444941241918563,Beam
94,6.0,4.5,Right,0.7507808120445264,Beam
95,11.0,4.5,Left,0.7507808120445264,Beam
96,11.0,4.5,Right,0.7507808120445264,Beam
97,17.0,4.5,Left,0.7507808120445264,Beam
98,17.0,4.5,Right,0.7507808120445264,Beam
99,22.0,4.5,Left,0.7507808120445264,Beam
100,22.0,4.5,Right,0.7507808120445264,Beam
101,28.0,4.5,Left,0.7507808120445264,Beam
102,28.0,4.5,Right,0.8242876362656284,Beam
103,33.0,4.5,Left,0.8977944604867305,Beam
