,X,Y,Loc,Value,Type
0,0.0,11.5,Top,19.84126984126984,Col
1,0.0,15.0,Bot,19.84126984126984,Col
2,6.0,11.5,Top,19.84126984126984,Col
3,6.0,15.0,Bot,19.84126984126984,Col
4,11.0,11.5,Top,19.84126984126984,Col
5,11.0,15.0,Bot,19.84126984126984,Col
6,17.0,11.5,Top,19.84126984126984,Col
7,17.0,15.0,Bot,19.84126984126984,Col
8,22.0,11.5,Top,19.84126984126984,Col
9,22.0,15.0,Bot,19.84126984126984,Col
10,28.0,11.5,Top,19.84126984126984,Col
11,28.0,15.0,Bot,19.84126984126984,Col
12,33.0,11.5,Top,19.84126984126984,Col
13,33.0,15.0,Bot,19.84126984126984,Col
14,0.0,8.0,Top,19.84126984126984,Col
15,0.0,11.5,Bot,19.84126984126984,Col
16,6.0,8.0,Top,19.84126984126984,Col
17,6.0,11.5,Bot,19.84126984126984,Col
18,11.0,8.0,Top,19.84126984126984,Col
19,11.0,11.5,Bot,19.84126984126984,Col
20,17.0,8.0,Top,19.84126984126984,Col
21,17.0,11.5,Bot,19.84126984126984,Col
22,22.0,8.0,Top,19.84126984126984,Col
23,22.0,11.5,Bot,19.84126984126984,Col
24,28.0,8.0,Top,19.84126984126984,Col
25,28.0,11.5,Bot,19.84126984126984,Col
26,33.0,8.0,Top,19.84126984126984,Col
27,33.0,11.5,Bot,19.84126984126984,Col
28,0.0,4.5,Top,19.84126984126984,Col
29,0.0,8.0,Bot,19.84126984126984,Col
30,6.0,4.5,Top,19.84126984126984,Col
31,6.0,8.0,Bot,19.84126984126984,Col
32,11.0,4.5,Top,19.84126984126984,Col
33,11.0,8.0,Bot,19.84126984126984,Col
34,17.0,4.5,Top,19.84126984126984,Col
35,17.0,8.0,Bot,19.84126984126984,Col
36,22.0,4.5,Top,19.84126984126984,Col
37,22.0,8.0,Bot,19.84126984126984,Col
38,28.0,4.5,Top,19.84126984126984,Col
39,28.0,8.0,Bot,19.84126984126984,Col
40,33.0,4.5,Top,19.84126984126984,Col
41,33.0,8.0,Bot,19.84126984126984,Col
42,0.0,0.0,Top,15.432098765432096,Col
43,0.0,4.5,Bot,15.432098765432096,Col
44,6.0,0.0,Top,15.432098765432096,Col
45,6.0,4.5,Bot,15.432098765432096,Col
46,11.0,0.0,Top,15.432098765432096,Col
47,11.0,4.5,Bot,15.432098765432096,Col
48,17.0,0.0,Top,15.432098765432096,Col
49,17.0,4.5,Bot,15.432098765432096,Col
50,22.0,0.0,Top,15.432098765432096,Col
51,22.0,4.5,Bot,15.432098765432096,Col
52,28.0,0.0,Top,15.432098765432096,Col
53,28.0,4.5,Bot,15.432098765432096,Col
54,33.0,0.0,Top,15.432098765432096,Col
55,33.0,4.5,Bot,15.432098765432096,Col
56,0.0,15.0,Right,15.999999999999996,Beam
57,6.0,15.0,Left,15.999999999999996,Beam
58,6.0,15.0,Right,19.199999999999996,Beam
59,11.0,15.0,Left,19.199999999999996,Beam
60,11.0,15.0,Right,15.999999999999996,Beam
61,17.0,15.0,Left,15.999999999999996,Beam
62,17.0,15.0,Right,19.199999999999996,Beam
63,22.0,15.0,Left,19.199999999999996,Beam
64,22.0,15.0,Right,15.999999999999996,Beam
65,28.0,15.0,Left,15.999999999999996,Beam
66,28.0,15.0,Right,19.199999999999996,Beam
67,33.0,15.0,Left,19.199999999999996,Beam
68,0.0,11.5,Right,15.999999999999996,Beam
69,6.0,11.5,Left,15.999999999999996,Beam
70,6.0,11.5,Right,19.199999999999996,Beam
71,11.0,11.5,Left,19.199999999999996,Beam
72,11.0,11.5,Right,15.999999999999996,Beam
73,17.0,11.5,Left,15.999999999999996,Beam
74,17.0,11.5,Right,19.199999999999996,Beam
75,22.0,11.5,Left,19.199999999999996,Beam
76,22.0,11.5,Right,15.999999999999996,Beam
77,28.0,11.5,Left,15.999999999999996,Beam
78,28.0,11.5,Right,19.199999999999996,Beam
79,33.0,11.5,Left,19.199999999999996,Beam
80,0.0,8.0,Right,15.999999999999996,Beam
81,6.0,8.0,Left,15.999999999999996,Beam
82,6.0,8.0,Right,19.199999999999996,Beam
83,11.0,8.0,Left,19.199999999999996,Beam
84,11.0,8.0,Right,15.999999999999996,Beam
85,17.0,8.0,Left,15.999999999999996,Beam
86,17.0,8.0,Right,19.199999999999996,Beam
87,22.0,8.0,Left,19.199999999999996,Beam
88,22.0,8.0,Right,15.999999999999996,Beam
89,28.0,8.0,Left,15.999999999999996,Beam
90,28.0,8.0,Right,19.199999999999996,Beam
91,33.0,8.0,Left,19.199999999999996,Beam
92,0.0,4.5,Right,15.999999999999996,Beam
93,6.0,4.5,Left,15.999999999999996,Beam
94,6.0,4.5,Right,19.199999999999996,Beam
95,11.0,4.5,Left,19.199999999999996,Beam
96,11.0,4.5,Right,15.999999999999996,Beam
97,17.0,4.5,Left,15.999999999999996,Beam
98,17.0,4.5,Right,19.199999999999996,Beam
99,22.0,4.5,Left,19.199999999999996,Beam
100,22.0,4.5,Right,15.999999999999996,Beam
101,28.0,4.5,Left,15.999999999999996,Beam
102,28.0,4.5,Right,19.199999999999996,Beam
103,33.0,4.5,Left,19.199999999999996,Beam
