,X,Y,Loc,Moment,Type
0,0.0,11.5,Top,23.19619441509157,Col
1,0.0,15.0,Bot,26.8097590983997,Col
2,6.0,11.5,Top,35.88493853658345,Col
3,6.0,15.0,Bot,39.734328654900885,Col
4,11.0,11.5,Top,35.88493853658345,Col
5,11.0,15.0,Bot,39.734328654900885,Col
6,17.0,11.5,Top,35.88493853658345,Col
7,17.0,15.0,Bot,39.734328654900885,Col
8,22.0,11.5,Top,35.88493853658345,Col
9,22.0,15.0,Bot,39.734328654900885,Col
10,28.0,11.5,Top,35.88493853658345,Col
11,28.0,15.0,Bot,39.734328654900885,Col
12,33.0,11.5,Top,25.986597755159305,Col
13,33.0,15.0,Bot,29.751112773927744,Col
14,0.0,8.0,Top,39.169146359979635,Col
15,0.0,11.5,Bot,39.169146359979635,Col
16,6.0,8.0,Top,64.07745547477082,Col
17,6.0,11.5,Bot,64.07745547477082,Col
18,11.0,8.0,Top,64.07745547477082,Col
19,11.0,11.5,Bot,64.07745547477082,Col
20,17.0,8.0,Top,64.07745547477082,Col
21,17.0,11.5,Bot,64.07745547477082,Col
22,22.0,8.0,Top,64.07745547477082,Col
23,22.0,11.5,Bot,64.07745547477082,Col
24,28.0,8.0,Top,64.07745547477082,Col
25,28.0,11.5,Bot,64.07745547477082,Col
26,33.0,8.0,Top,44.448576266166235,Col
27,33.0,11.5,Bot,44.448576266166235,Col
28,0.0,4.5,Top,50.79418403829395,Col
29,0.0,8.0,Bot,49.41714035720027,Col
30,6.0,4.5,Top,81.86756541579577,Col
31,6.0,8.0,Bot,80.22857774218652,Col
32,11.0,4.5,Top,81.86756541579577,Col
33,11.0,8.0,Bot,80.22857774218652,Col
34,17.0,4.5,Top,81.86756541579577,Col
35,17.0,8.0,Bot,80.22857774218652,Col
36,22.0,4.5,Top,81.86756541579577,Col
37,22.0,8.0,Bot,80.22857774218652,Col
38,28.0,4.5,Top,81.86756541579577,Col
39,28.0,8.0,Bot,80.22857774218652,Col
40,33.0,4.5,Top,57.456906089488434,Col
41,33.0,8.0,Bot,55.986053725105734,Col
42,0.0,0.0,Top,108.74951734175654,Col
43,0.0,4.5,Bot,76.39129390038647,Col
44,6.0,0.0,Top,117.56529984736565,Col
45,6.0,4.5,Bot,94.02285891160467,Col
46,11.0,0.0,Top,117.56529984736565,Col
47,11.0,4.5,Bot,94.02285891160467,Col
48,17.0,0.0,Top,117.56529984736565,Col
49,17.0,4.5,Bot,94.02285891160467,Col
50,22.0,0.0,Top,117.56529984736565,Col
51,22.0,4.5,Bot,94.02285891160467,Col
52,28.0,0.0,Top,117.56529984736565,Col
53,28.0,4.5,Bot,94.02285891160467,Col
54,33.0,0.0,Top,110.65037858204421,Col
55,33.0,4.5,Bot,80.19301638096185,Col
56,0.0,15.0,Right,26.8097590983997,Beam
57,6.0,15.0,Left,19.688127544578503,Beam
58,6.0,15.0,Right,20.04620111032238,Beam
59,11.0,15.0,Left,21.673270175400482,Beam
60,11.0,15.0,Right,18.061058479500403,Beam
61,17.0,15.0,Left,18.061058479500403,Beam
62,17.0,15.0,Right,21.673270175400482,Beam
63,22.0,15.0,Left,21.673270175400482,Beam
64,22.0,15.0,Right,18.061058479500403,Beam
65,28.0,15.0,Left,16.808595804770675,Beam
66,28.0,15.0,Right,22.92573285013021,Beam
67,33.0,15.0,Left,29.75111277392774,Beam
68,0.0,11.5,Right,62.3653407750712,Beam
69,6.0,11.5,Left,48.144630511428524,Beam
70,6.0,11.5,Right,51.81776349992573,Beam
71,11.0,11.5,Left,54.52494218801142,Beam
72,11.0,11.5,Right,45.43745182334285,Beam
73,17.0,11.5,Left,45.43745182334285,Beam
74,17.0,11.5,Right,54.52494218801142,Beam
75,22.0,11.5,Left,54.52494218801142,Beam
76,22.0,11.5,Right,45.43745182334285,Beam
77,28.0,11.5,Left,43.29830001967696,Beam
78,28.0,11.5,Right,56.66409399167731,Beam
79,33.0,11.5,Left,70.43517402132554,Beam
80,0.0,8.0,Right,88.5862867171799,Beam
81,6.0,8.0,Left,69.50174331570331,Beam
82,6.0,8.0,Right,74.80428990125401,Beam
83,11.0,8.0,Left,78.71238175470401,Beam
84,11.0,8.0,Right,65.59365146225333,Beam
85,17.0,8.0,Left,65.59365146225333,Beam
86,17.0,8.0,Right,78.71238175470401,Beam
87,22.0,8.0,Left,78.71238175470401,Beam
88,22.0,8.0,Right,65.59365146225333,Beam
89,28.0,8.0,Left,62.50556504446645,Beam
90,28.0,8.0,Right,81.8004681724909,Beam
91,33.0,8.0,Left,100.43462999127198,Beam
92,0.0,4.5,Right,127.1854779386804,Beam
93,6.0,4.5,Left,85.10128527066452,Beam
94,6.0,4.5,Right,90.78913905673595,Beam
95,11.0,4.5,Left,95.94023145130934,Beam
96,11.0,4.5,Right,79.95019287609111,Beam
97,17.0,4.5,Left,79.95019287609111,Beam
98,17.0,4.5,Right,95.94023145130934,Beam
99,22.0,4.5,Left,95.94023145130934,Beam
100,22.0,4.5,Right,79.95019287609111,Beam
101,28.0,4.5,Left,75.89699645965153,Beam
102,28.0,4.5,Right,99.99342786774893,Beam
103,33.0,4.5,Left,137.6499224704503,Beam
