,X,Y,Loc,Value,Type
0,0.0,11.5,Top,10.129952238739643,Col
1,0.0,15.0,Bot,11.708023063568225,Col
2,6.0,11.5,Top,15.67122205309655,Col
3,6.0,15.0,Bot,17.35227961577425,Col
4,11.0,11.5,Top,15.67122205309655,Col
5,11.0,15.0,Bot,17.35227961577425,Col
6,17.0,11.5,Top,15.67122205309655,Col
7,17.0,15.0,Bot,17.35227961577425,Col
8,22.0,11.5,Top,15.67122205309655,Col
9,22.0,15.0,Bot,17.35227961577425,Col
10,28.0,11.5,Top,15.67122205309655,Col
11,28.0,15.0,Bot,17.35227961577425,Col
12,33.0,11.5,Top,11.348542325366754,Col
13,33.0,15.0,Bot,12.992534294899995,Col
14,0.0,8.0,Top,8.551881413911058,Col
15,0.0,11.5,Bot,8.551881413911058,Col
16,6.0,8.0,Top,13.99016449041885,Col
17,6.0,11.5,Bot,13.99016449041885,Col
18,11.0,8.0,Top,13.99016449041885,Col
19,11.0,11.5,Bot,13.99016449041885,Col
20,17.0,8.0,Top,13.99016449041885,Col
21,17.0,11.5,Bot,13.99016449041885,Col
22,22.0,8.0,Top,13.99016449041885,Col
23,22.0,11.5,Bot,13.99016449041885,Col
24,28.0,8.0,Top,13.99016449041885,Col
25,28.0,11.5,Bot,13.99016449041885,Col
26,33.0,8.0,Top,9.70455035583351,Col
27,33.0,11.5,Bot,9.70455035583351,Col
28,0.0,4.5,Top,9.04215162888945,Col
29,0.0,8.0,Bot,8.797016521400254,Col
30,6.0,4.5,Top,14.573694882460694,Col
31,6.0,8.0,Bot,14.281929686439772,Col
32,11.0,4.5,Top,14.573694882460694,Col
33,11.0,8.0,Bot,14.281929686439772,Col
34,17.0,4.5,Top,14.573694882460694,Col
35,17.0,8.0,Bot,14.281929686439772,Col
36,22.0,4.5,Top,14.573694882460694,Col
37,22.0,8.0,Bot,14.281929686439772,Col
38,28.0,4.5,Top,14.573694882460694,Col
39,28.0,8.0,Bot,14.281929686439772,Col
40,33.0,4.5,Top,10.228219368507565,Col
41,33.0,8.0,Bot,9.966384862170536,Col
42,0.0,0.0,Top,17.83991384523397,Col
43,0.0,4.5,Bot,12.531679542319791,Col
44,6.0,0.0,Top,19.286106933927332,Col
45,6.0,4.5,Bot,15.424065719706515,Col
46,11.0,0.0,Top,19.286106933927332,Col
47,11.0,4.5,Bot,15.424065719706515,Col
48,17.0,0.0,Top,19.286106933927332,Col
49,17.0,4.5,Bot,15.424065719706515,Col
50,22.0,0.0,Top,19.286106933927332,Col
51,22.0,4.5,Bot,15.424065719706515,Col
52,28.0,0.0,Top,19.286106933927332,Col
53,28.0,4.5,Bot,15.424065719706515,Col
54,33.0,0.0,Top,18.151742362614026,Col
55,33.0,4.5,Bot,13.15533657707991,Col
56,0.0,15.0,Right,11.741234892029988,Beam
57,6.0,15.0,Left,10.196375895663165,Beam
58,6.0,15.0,Right,10.381820279155612,Beam
59,11.0,15.0,Left,10.381820279155612,Beam
60,11.0,15.0,Right,8.651516899296343,Beam
61,17.0,15.0,Left,8.651516899296343,Beam
62,17.0,15.0,Right,10.381820279155612,Beam
63,22.0,15.0,Left,10.381820279155612,Beam
64,22.0,15.0,Right,8.651516899296343,Beam
65,28.0,15.0,Left,8.651516899296343,Beam
66,28.0,15.0,Right,11.800055607581486,Beam
67,33.0,15.0,Left,13.218290936007362,Beam
68,0.0,11.5,Right,15.641952336856823,Beam
69,6.0,11.5,Left,14.180141845891528,Beam
70,6.0,11.5,Right,15.26199762591148,Beam
71,11.0,11.5,Left,15.26199762591148,Beam
72,11.0,11.5,Right,12.718331354926233,Beam
73,17.0,11.5,Left,12.718331354926233,Beam
74,17.0,11.5,Right,15.26199762591148,Beam
75,22.0,11.5,Left,15.26199762591148,Beam
76,22.0,11.5,Right,12.718331354926233,Beam
77,28.0,11.5,Left,12.718331354926233,Beam
78,28.0,11.5,Right,16.64436532116333,Beam
79,33.0,11.5,Left,18.026733016415175,Beam
80,0.0,8.0,Right,15.641952336856823,Beam
81,6.0,8.0,Left,14.180141845891528,Beam
82,6.0,8.0,Right,15.26199762591148,Beam
83,11.0,8.0,Left,15.26199762591148,Beam
84,11.0,8.0,Right,12.718331354926233,Beam
85,17.0,8.0,Left,12.718331354926233,Beam
86,17.0,8.0,Right,15.26199762591148,Beam
87,22.0,8.0,Left,15.26199762591148,Beam
88,22.0,8.0,Right,12.718331354926233,Beam
89,28.0,8.0,Left,12.718331354926233,Beam
90,28.0,8.0,Right,16.64436532116333,Beam
91,33.0,8.0,Left,18.026733016415175,Beam
92,0.0,4.5,Right,15.011318981426976,Beam
93,6.0,4.5,Left,13.511905987069698,Beam
94,6.0,4.5,Right,14.414991591254903,Beam
95,11.0,4.5,Left,14.414991591254903,Beam
96,11.0,4.5,Right,12.012492992712419,Beam
97,17.0,4.5,Left,12.012492992712419,Beam
98,17.0,4.5,Right,14.414991591254903,Beam
99,22.0,4.5,Left,14.414991591254903,Beam
100,22.0,4.5,Right,12.012492992712419,Beam
101,28.0,4.5,Left,12.012492992712419,Beam
102,28.0,4.5,Right,15.826322616300061,Beam
103,33.0,4.5,Left,17.237653641345222,Beam
