,X,Y,Loc,Shear,Type
0,0.0,15.0,Right,7.7496477738297,Beam
1,6.0,15.0,Left,7.7496477738297,Beam
2,6.0,15.0,Right,8.343894257144573,Beam
3,11.0,15.0,Left,8.343894257144573,Beam
4,11.0,15.0,Right,6.020352826500134,Beam
5,17.0,15.0,Left,6.020352826500134,Beam
6,17.0,15.0,Right,8.669308070160193,Beam
7,22.0,15.0,Left,8.669308070160193,Beam
8,22.0,15.0,Right,5.811609047378513,Beam
9,28.0,15.0,Left,5.811609047378513,Beam
10,28.0,15.0,Right,10.53536912481159,Beam
11,33.0,15.0,Left,10.53536912481159,Beam
12,0.0,11.5,Right,18.418328547749955,Beam
13,6.0,11.5,Left,18.418328547749955,Beam
14,6.0,11.5,Right,21.26854113758743,Beam
15,11.0,11.5,Left,21.26854113758743,Beam
16,11.0,11.5,Right,15.145817274447616,Beam
17,17.0,11.5,Left,15.145817274447616,Beam
18,17.0,11.5,Right,21.80997687520457,Beam
19,22.0,11.5,Left,21.80997687520457,Beam
20,22.0,11.5,Right,14.789291973836635,Beam
21,28.0,11.5,Left,14.789291973836635,Beam
22,28.0,11.5,Right,25.41985360260057,Beam
23,33.0,11.5,Left,25.41985360260057,Beam
24,0.0,8.0,Right,26.348005005480534,Beam
25,6.0,8.0,Left,26.348005005480534,Beam
26,6.0,8.0,Right,30.703334331191606,Beam
27,11.0,8.0,Left,30.703334331191606,Beam
28,11.0,8.0,Right,21.864550487417777,Beam
29,17.0,8.0,Left,21.864550487417777,Beam
30,17.0,8.0,Right,31.484952701881603,Beam
31,22.0,8.0,Left,31.484952701881603,Beam
32,22.0,8.0,Right,21.349869417786632,Beam
33,28.0,8.0,Left,21.349869417786632,Beam
34,28.0,8.0,Right,36.44701963275257,Beam
35,33.0,8.0,Left,36.44701963275257,Beam
36,0.0,4.5,Right,35.38112720155749,Beam
37,6.0,4.5,Left,35.38112720155749,Beam
38,6.0,4.5,Right,37.345874101609056,Beam
39,11.0,4.5,Left,37.345874101609056,Beam
40,11.0,4.5,Right,26.65006429203037,Beam
41,17.0,4.5,Left,26.65006429203037,Beam
42,17.0,4.5,Right,38.37609258052374,Beam
43,22.0,4.5,Left,38.37609258052374,Beam
44,22.0,4.5,Right,25.97453155595711,Beam
45,28.0,4.5,Left,25.97453155595711,Beam
46,28.0,4.5,Right,47.52867006763985,Beam
47,33.0,4.5,Left,47.52867006763985,Beam
48,0.0,11.5,Top,14.287415289568932,Col
49,0.0,15.0,Bot,14.287415289568932,Col
50,6.0,11.5,Top,21.60550491185267,Col
51,6.0,15.0,Bot,21.60550491185267,Col
52,11.0,11.5,Top,21.60550491185267,Col
53,11.0,15.0,Bot,21.60550491185267,Col
54,17.0,11.5,Top,21.60550491185267,Col
55,17.0,15.0,Bot,21.60550491185267,Col
56,22.0,11.5,Top,21.60550491185267,Col
57,22.0,15.0,Bot,21.60550491185267,Col
58,28.0,11.5,Top,21.60550491185267,Col
59,28.0,15.0,Bot,21.60550491185267,Col
60,33.0,11.5,Top,15.92506015116773,Col
61,33.0,15.0,Bot,15.92506015116773,Col
62,0.0,8.0,Top,22.38236934855979,Col
63,0.0,11.5,Bot,22.38236934855979,Col
64,6.0,8.0,Top,36.61568884272618,Col
65,6.0,11.5,Bot,36.61568884272618,Col
66,11.0,8.0,Top,36.61568884272618,Col
67,11.0,11.5,Bot,36.61568884272618,Col
68,17.0,8.0,Top,36.61568884272618,Col
69,17.0,11.5,Bot,36.61568884272618,Col
70,22.0,8.0,Top,36.61568884272618,Col
71,22.0,11.5,Bot,36.61568884272618,Col
72,28.0,8.0,Top,36.61568884272618,Col
73,28.0,11.5,Bot,36.61568884272618,Col
74,33.0,8.0,Top,25.399186437809277,Col
75,33.0,11.5,Bot,25.399186437809277,Col
76,0.0,4.5,Top,28.631806970141206,Col
77,0.0,8.0,Bot,28.631806970141206,Col
78,6.0,4.5,Top,46.31318375942351,Col
79,6.0,8.0,Bot,46.31318375942351,Col
80,11.0,4.5,Top,46.31318375942351,Col
81,11.0,8.0,Bot,46.31318375942351,Col
82,17.0,4.5,Top,46.31318375942351,Col
83,17.0,8.0,Bot,46.31318375942351,Col
84,22.0,4.5,Top,46.31318375942351,Col
85,22.0,8.0,Bot,46.31318375942351,Col
86,28.0,4.5,Top,46.31318375942351,Col
87,28.0,8.0,Bot,46.31318375942351,Col
88,33.0,4.5,Top,32.41227423274119,Col
89,33.0,8.0,Bot,32.41227423274119,Col
90,0.0,0.0,Top,41.142402498254,Col
91,0.0,4.5,Bot,41.142402498254,Col
92,6.0,0.0,Top,47.01959083532674,Col
93,6.0,4.5,Bot,47.01959083532674,Col
94,11.0,0.0,Top,47.01959083532674,Col
95,11.0,4.5,Bot,47.01959083532674,Col
96,17.0,0.0,Top,47.01959083532674,Col
97,17.0,4.5,Bot,47.01959083532674,Col
98,22.0,0.0,Top,47.01959083532674,Col
99,22.0,4.5,Bot,47.01959083532674,Col
100,28.0,0.0,Top,47.01959083532674,Col
101,28.0,4.5,Bot,47.01959083532674,Col
102,33.0,0.0,Top,42.409643325112455,Col
103,33.0,4.5,Bot,42.409643325112455,Col
