,X,Y,Loc,Value,Type
0,0.0,15.0,Bot,0.49178728248495696,Col
1,5.0,15.0,Bot,0.6593262836585632,Col
2,10.0,15.0,Bot,0.6593262836585632,Col
3,15.0,15.0,Bot,0.6593262836585632,Col
4,20.0,15.0,Bot,0.6395201291959856,Col
5,26.0,15.0,Bot,0.6172688303735456,Col
6,32.0,15.0,Bot,0.6172688303735456,Col
7,38.0,15.0,Bot,0.6172688303735456,Col
8,44.0,15.0,Bot,0.44641275465013286,Col
9,0.0,11.5,Top,0.326072891956006,Col
10,0.0,11.5,Bot,0.326072891956006,Col
11,5.0,11.5,Top,0.49178728248495696,Col
12,5.0,11.5,Bot,0.49178728248495696,Col
13,10.0,11.5,Top,0.49178728248495696,Col
14,10.0,11.5,Bot,0.49178728248495696,Col
15,15.0,11.5,Top,0.49178728248495696,Col
16,15.0,11.5,Bot,0.49178728248495696,Col
17,20.0,11.5,Top,0.47006952687807346,Col
18,20.0,11.5,Bot,0.47006952687807346,Col
19,26.0,11.5,Top,0.44641275465013286,Col
20,26.0,11.5,Bot,0.44641275465013286,Col
21,32.0,11.5,Top,0.44641275465013286,Col
22,32.0,11.5,Bot,0.44641275465013286,Col
23,38.0,11.5,Top,0.44641275465013286,Col
24,38.0,11.5,Bot,0.44641275465013286,Col
25,44.0,11.5,Top,0.2873432155074116,Col
26,44.0,11.5,Bot,0.2873432155074116,Col
27,0.0,8.0,Top,0.326072891956006,Col
28,0.0,8.0,Bot,0.326072891956006,Col
29,5.0,8.0,Top,0.49178728248495696,Col
30,5.0,8.0,Bot,0.49178728248495696,Col
31,10.0,8.0,Top,0.49178728248495696,Col
32,10.0,8.0,Bot,0.49178728248495696,Col
33,15.0,8.0,Top,0.49178728248495696,Col
34,15.0,8.0,Bot,0.49178728248495696,Col
35,20.0,8.0,Top,0.47006952687807346,Col
36,20.0,8.0,Bot,0.47006952687807346,Col
37,26.0,8.0,Top,0.44641275465013286,Col
38,26.0,8.0,Bot,0.44641275465013286,Col
39,32.0,8.0,Top,0.44641275465013286,Col
40,32.0,8.0,Bot,0.44641275465013286,Col
41,38.0,8.0,Top,0.44641275465013286,Col
42,38.0,8.0,Bot,0.44641275465013286,Col
43,44.0,8.0,Top,0.2873432155074116,Col
44,44.0,8.0,Bot,0.2873432155074116,Col
45,0.0,4.5,Top,0.3524658101947783,Col
46,0.0,4.5,Bot,0.3524658101947783,Col
47,5.0,4.5,Top,0.5212195495633523,Col
48,5.0,4.5,Bot,0.5212195495633523,Col
49,10.0,4.5,Top,0.5212195495633523,Col
50,10.0,4.5,Bot,0.5212195495633523,Col
51,15.0,4.5,Top,0.5212195495633523,Col
52,15.0,4.5,Bot,0.5212195495633523,Col
53,20.0,4.5,Top,0.4994794586369824,Col
54,20.0,4.5,Bot,0.4994794586369824,Col
55,26.0,4.5,Top,0.4756711409395973,Col
56,26.0,4.5,Bot,0.4756711409395973,Col
57,32.0,4.5,Top,0.4756711409395973,Col
58,32.0,4.5,Bot,0.4756711409395973,Col
59,38.0,4.5,Top,0.4756711409395973,Col
60,38.0,4.5,Bot,0.4756711409395973,Col
61,44.0,4.5,Top,0.31205283434232256,Col
62,44.0,4.5,Bot,0.31205283434232256,Col
