,X,Y,Loc,Value,Type
0,0.0,15.0,Right,0.508212717515043,Beam
1,0.0,15.0,Left,0.508212717515043,Beam
2,5.0,15.0,Right,0.34067371634143684,Beam
3,5.0,15.0,Left,0.34067371634143684,Beam
4,10.0,15.0,Right,0.34067371634143684,Beam
5,10.0,15.0,Left,0.34067371634143684,Beam
6,15.0,15.0,Right,0.34067371634143684,Beam
7,15.0,15.0,Left,0.34067371634143684,Beam
8,20.0,15.0,Right,0.3604798708040144,Beam
9,20.0,15.0,Left,0.3604798708040144,Beam
10,26.0,15.0,Right,0.38273116962645437,Beam
11,26.0,15.0,Left,0.38273116962645437,Beam
12,32.0,15.0,Right,0.38273116962645437,Beam
13,32.0,15.0,Left,0.38273116962645437,Beam
14,38.0,15.0,Right,0.38273116962645437,Beam
15,38.0,15.0,Left,0.38273116962645437,Beam
16,44.0,15.0,Left,0.5535872453498671,Beam
17,0.0,11.5,Right,0.673927108043994,Beam
18,0.0,11.5,Left,0.673927108043994,Beam
19,5.0,11.5,Right,0.508212717515043,Beam
20,5.0,11.5,Left,0.508212717515043,Beam
21,10.0,11.5,Right,0.508212717515043,Beam
22,10.0,11.5,Left,0.508212717515043,Beam
23,15.0,11.5,Right,0.508212717515043,Beam
24,15.0,11.5,Left,0.508212717515043,Beam
25,20.0,11.5,Right,0.5299304731219265,Beam
26,20.0,11.5,Left,0.5299304731219265,Beam
27,26.0,11.5,Right,0.5535872453498671,Beam
28,26.0,11.5,Left,0.5535872453498671,Beam
29,32.0,11.5,Right,0.5535872453498671,Beam
30,32.0,11.5,Left,0.5535872453498671,Beam
31,38.0,11.5,Right,0.5535872453498671,Beam
32,38.0,11.5,Left,0.5535872453498671,Beam
33,44.0,11.5,Left,0.7126567844925884,Beam
34,0.0,8.0,Right,0.673927108043994,Beam
35,0.0,8.0,Left,0.673927108043994,Beam
36,5.0,8.0,Right,0.508212717515043,Beam
37,5.0,8.0,Left,0.508212717515043,Beam
38,10.0,8.0,Right,0.508212717515043,Beam
39,10.0,8.0,Left,0.508212717515043,Beam
40,15.0,8.0,Right,0.508212717515043,Beam
41,15.0,8.0,Left,0.508212717515043,Beam
42,20.0,8.0,Right,0.5299304731219265,Beam
43,20.0,8.0,Left,0.5299304731219265,Beam
44,26.0,8.0,Right,0.5535872453498671,Beam
45,26.0,8.0,Left,0.5535872453498671,Beam
46,32.0,8.0,Right,0.5535872453498671,Beam
47,32.0,8.0,Left,0.5535872453498671,Beam
48,38.0,8.0,Right,0.5535872453498671,Beam
49,38.0,8.0,Left,0.5535872453498671,Beam
50,44.0,8.0,Left,0.7126567844925884,Beam
51,0.0,4.5,Right,0.6475341898052217,Beam
52,0.0,4.5,Left,0.6475341898052217,Beam
53,5.0,4.5,Right,0.4787804504366478,Beam
54,5.0,4.5,Left,0.4787804504366478,Beam
55,10.0,4.5,Right,0.4787804504366478,Beam
56,10.0,4.5,Left,0.4787804504366478,Beam
57,15.0,4.5,Right,0.4787804504366478,Beam
58,15.0,4.5,Left,0.4787804504366478,Beam
59,20.0,4.5,Right,0.5005205413630176,Beam
60,20.0,4.5,Left,0.5005205413630176,Beam
61,26.0,4.5,Right,0.5243288590604027,Beam
62,26.0,4.5,Left,0.5243288590604027,Beam
63,32.0,4.5,Right,0.5243288590604027,Beam
64,32.0,4.5,Left,0.5243288590604027,Beam
65,38.0,4.5,Right,0.5243288590604027,Beam
66,38.0,4.5,Left,0.5243288590604027,Beam
67,44.0,4.5,Left,0.6879471656576774,Beam
