,X,Y,Loc,Value,Type
0,0.0,11.5,Top,19.84126984126984,Col
1,0.0,15.0,Bot,19.84126984126984,Col
2,5.0,11.5,Top,19.84126984126984,Col
3,5.0,15.0,Bot,19.84126984126984,Col
4,10.0,11.5,Top,19.84126984126984,Col
5,10.0,15.0,Bot,19.84126984126984,Col
6,15.0,11.5,Top,19.84126984126984,Col
7,15.0,15.0,Bot,19.84126984126984,Col
8,20.0,11.5,Top,19.84126984126984,Col
9,20.0,15.0,Bot,19.84126984126984,Col
10,26.0,11.5,Top,19.84126984126984,Col
11,26.0,15.0,Bot,19.84126984126984,Col
12,32.0,11.5,Top,19.84126984126984,Col
13,32.0,15.0,Bot,19.84126984126984,Col
14,38.0,11.5,Top,19.84126984126984,Col
15,38.0,15.0,Bot,19.84126984126984,Col
16,44.0,11.5,Top,19.84126984126984,Col
17,44.0,15.0,Bot,19.84126984126984,Col
18,0.0,8.0,Top,19.84126984126984,Col
19,0.0,11.5,Bot,19.84126984126984,Col
20,5.0,8.0,Top,19.84126984126984,Col
21,5.0,11.5,Bot,19.84126984126984,Col
22,10.0,8.0,Top,19.84126984126984,Col
23,10.0,11.5,Bot,19.84126984126984,Col
24,15.0,8.0,Top,19.84126984126984,Col
25,15.0,11.5,Bot,19.84126984126984,Col
26,20.0,8.0,Top,19.84126984126984,Col
27,20.0,11.5,Bot,19.84126984126984,Col
28,26.0,8.0,Top,19.84126984126984,Col
29,26.0,11.5,Bot,19.84126984126984,Col
30,32.0,8.0,Top,19.84126984126984,Col
31,32.0,11.5,Bot,19.84126984126984,Col
32,38.0,8.0,Top,19.84126984126984,Col
33,38.0,11.5,Bot,19.84126984126984,Col
34,44.0,8.0,Top,19.84126984126984,Col
35,44.0,11.5,Bot,19.84126984126984,Col
36,0.0,4.5,Top,19.84126984126984,Col
37,0.0,8.0,Bot,19.84126984126984,Col
38,5.0,4.5,Top,19.84126984126984,Col
39,5.0,8.0,Bot,19.84126984126984,Col
40,10.0,4.5,Top,19.84126984126984,Col
41,10.0,8.0,Bot,19.84126984126984,Col
42,15.0,4.5,Top,19.84126984126984,Col
43,15.0,8.0,Bot,19.84126984126984,Col
44,20.0,4.5,Top,19.84126984126984,Col
45,20.0,8.0,Bot,19.84126984126984,Col
46,26.0,4.5,Top,19.84126984126984,Col
47,26.0,8.0,Bot,19.84126984126984,Col
48,32.0,4.5,Top,19.84126984126984,Col
49,32.0,8.0,Bot,19.84126984126984,Col
50,38.0,4.5,Top,19.84126984126984,Col
51,38.0,8.0,Bot,19.84126984126984,Col
52,44.0,4.5,Top,19.84126984126984,Col
53,44.0,8.0,Bot,19.84126984126984,Col
54,0.0,0.0,Top,15.432098765432096,Col
55,0.0,4.5,Bot,15.432098765432096,Col
56,5.0,0.0,Top,15.432098765432096,Col
57,5.0,4.5,Bot,15.432098765432096,Col
58,10.0,0.0,Top,15.432098765432096,Col
59,10.0,4.5,Bot,15.432098765432096,Col
60,15.0,0.0,Top,15.432098765432096,Col
61,15.0,4.5,Bot,15.432098765432096,Col
62,20.0,0.0,Top,15.432098765432096,Col
63,20.0,4.5,Bot,15.432098765432096,Col
64,26.0,0.0,Top,15.432098765432096,Col
65,26.0,4.5,Bot,15.432098765432096,Col
66,32.0,0.0,Top,15.432098765432096,Col
67,32.0,4.5,Bot,15.432098765432096,Col
68,38.0,0.0,Top,15.432098765432096,Col
69,38.0,4.5,Bot,15.432098765432096,Col
70,44.0,0.0,Top,15.432098765432096,Col
71,44.0,4.5,Bot,15.432098765432096,Col
72,0.0,15.0,Right,19.199999999999996,Beam
73,5.0,15.0,Left,19.199999999999996,Beam
74,5.0,15.0,Right,19.199999999999996,Beam
75,10.0,15.0,Left,19.199999999999996,Beam
76,10.0,15.0,Right,19.199999999999996,Beam
77,15.0,15.0,Left,19.199999999999996,Beam
78,15.0,15.0,Right,19.199999999999996,Beam
79,20.0,15.0,Left,19.199999999999996,Beam
80,20.0,15.0,Right,15.999999999999996,Beam
81,26.0,15.0,Left,15.999999999999996,Beam
82,26.0,15.0,Right,15.999999999999996,Beam
83,32.0,15.0,Left,15.999999999999996,Beam
84,32.0,15.0,Right,15.999999999999996,Beam
85,38.0,15.0,Left,15.999999999999996,Beam
86,38.0,15.0,Right,15.999999999999996,Beam
87,44.0,15.0,Left,15.999999999999996,Beam
88,0.0,11.5,Right,19.199999999999996,Beam
89,5.0,11.5,Left,19.199999999999996,Beam
90,5.0,11.5,Right,19.199999999999996,Beam
91,10.0,11.5,Left,19.199999999999996,Beam
92,10.0,11.5,Right,19.199999999999996,Beam
93,15.0,11.5,Left,19.199999999999996,Beam
94,15.0,11.5,Right,19.199999999999996,Beam
95,20.0,11.5,Left,19.199999999999996,Beam
96,20.0,11.5,Right,15.999999999999996,Beam
97,26.0,11.5,Left,15.999999999999996,Beam
98,26.0,11.5,Right,15.999999999999996,Beam
99,32.0,11.5,Left,15.999999999999996,Beam
100,32.0,11.5,Right,15.999999999999996,Beam
101,38.0,11.5,Left,15.999999999999996,Beam
102,38.0,11.5,Right,15.999999999999996,Beam
103,44.0,11.5,Left,15.999999999999996,Beam
104,0.0,8.0,Right,19.199999999999996,Beam
105,5.0,8.0,Left,19.199999999999996,Beam
106,5.0,8.0,Right,19.199999999999996,Beam
107,10.0,8.0,Left,19.199999999999996,Beam
108,10.0,8.0,Right,19.199999999999996,Beam
109,15.0,8.0,Left,19.199999999999996,Beam
110,15.0,8.0,Right,19.199999999999996,Beam
111,20.0,8.0,Left,19.199999999999996,Beam
112,20.0,8.0,Right,15.999999999999996,Beam
113,26.0,8.0,Left,15.999999999999996,Beam
114,26.0,8.0,Right,15.999999999999996,Beam
115,32.0,8.0,Left,15.999999999999996,Beam
116,32.0,8.0,Right,15.999999999999996,Beam
117,38.0,8.0,Left,15.999999999999996,Beam
118,38.0,8.0,Right,15.999999999999996,Beam
119,44.0,8.0,Left,15.999999999999996,Beam
120,0.0,4.5,Right,19.199999999999996,Beam
121,5.0,4.5,Left,19.199999999999996,Beam
122,5.0,4.5,Right,19.199999999999996,Beam
123,10.0,4.5,Left,19.199999999999996,Beam
124,10.0,4.5,Right,19.199999999999996,Beam
125,15.0,4.5,Left,19.199999999999996,Beam
126,15.0,4.5,Right,19.199999999999996,Beam
127,20.0,4.5,Left,19.199999999999996,Beam
128,20.0,4.5,Right,15.999999999999996,Beam
129,26.0,4.5,Left,15.999999999999996,Beam
130,26.0,4.5,Right,15.999999999999996,Beam
131,32.0,4.5,Left,15.999999999999996,Beam
132,32.0,4.5,Right,15.999999999999996,Beam
133,38.0,4.5,Left,15.999999999999996,Beam
134,38.0,4.5,Right,15.999999999999996,Beam
135,44.0,4.5,Left,15.999999999999996,Beam
