,X,Y,Loc,Moment,Type
0,0.0,11.5,Top,2.0795598951904286,Col
1,0.0,15.0,Bot,2.3808126613905993,Col
2,5.0,11.5,Top,2.9866351598201817,Col
3,5.0,15.0,Bot,3.2912048920495924,Col
4,10.0,11.5,Top,2.9866351598201817,Col
5,10.0,15.0,Bot,3.2912048920495924,Col
6,15.0,11.5,Top,2.9866351598201817,Col
7,15.0,15.0,Bot,3.2912048920495924,Col
8,20.0,11.5,Top,2.8716679160986605,Col
9,20.0,15.0,Bot,3.179712754688813,Col
10,26.0,11.5,Top,2.7452057458490926,Col
11,26.0,15.0,Bot,3.055805599425429,Col
12,32.0,11.5,Top,2.7452057458490926,Col
13,32.0,15.0,Bot,3.055805599425429,Col
14,38.0,11.5,Top,2.7452057458490926,Col
15,38.0,15.0,Bot,3.055805599425429,Col
16,44.0,11.5,Top,1.8562597567081522,Col
17,44.0,15.0,Bot,2.145432824490454,Col
18,0.0,8.0,Top,3.545483713547119,Col
19,0.0,11.5,Bot,3.545483713547119,Col
20,5.0,8.0,Top,5.3473436265142285,Col
21,5.0,11.5,Bot,5.3473436265142285,Col
22,10.0,8.0,Top,5.3473436265142285,Col
23,10.0,11.5,Bot,5.3473436265142285,Col
24,15.0,8.0,Top,5.3473436265142285,Col
25,15.0,11.5,Bot,5.3473436265142285,Col
26,20.0,8.0,Top,5.111200265018876,Col
27,20.0,11.5,Bot,5.111200265018876,Col
28,26.0,8.0,Top,4.853973421824032,Col
29,26.0,11.5,Bot,4.853973421824032,Col
30,32.0,8.0,Top,4.853973421824032,Col
31,32.0,11.5,Bot,4.853973421824032,Col
32,38.0,8.0,Top,4.853973421824032,Col
33,38.0,11.5,Bot,4.853973421824032,Col
34,44.0,8.0,Top,3.124364876419231,Col
35,44.0,11.5,Bot,3.124364876419231,Col
36,0.0,4.5,Top,4.587146773289576,Col
37,0.0,8.0,Bot,4.469719363140567,Col
38,5.0,4.5,Top,6.826082244678707,Col
39,5.0,8.0,Bot,6.695132159259482,Col
40,10.0,4.5,Top,6.826082244678707,Col
41,10.0,8.0,Bot,6.695132159259482,Col
42,15.0,4.5,Top,6.826082244678707,Col
43,15.0,8.0,Bot,6.695132159259482,Col
44,20.0,4.5,Top,6.536003486669541,Col
45,20.0,8.0,Bot,6.405152775586204,Col
46,26.0,4.5,Top,6.218893737989519,Col
47,26.0,8.0,Bot,6.0887172832288705,Col
48,32.0,4.5,Top,6.218893737989519,Col
49,32.0,8.0,Bot,6.0887172832288705,Col
50,38.0,4.5,Top,6.218893737989519,Col
51,38.0,8.0,Bot,6.0887172832288705,Col
52,44.0,4.5,Top,4.055219698920817,Col
53,44.0,8.0,Bot,3.945281626923528,Col
