,X,Y,Loc,Value,Type
0,0.0,11.5,Top,11.348542325366754,Col
1,0.0,15.0,Bot,12.992534294899995,Col
2,5.0,11.5,Top,16.298619530044412,Col
3,5.0,15.0,Bot,17.960712795655585,Col
4,10.0,11.5,Top,16.298619530044412,Col
5,10.0,15.0,Bot,17.960712795655585,Col
6,15.0,11.5,Top,16.298619530044412,Col
7,15.0,15.0,Bot,17.960712795655585,Col
8,20.0,11.5,Top,15.67122205309655,Col
9,20.0,15.0,Bot,17.35227961577425,Col
10,26.0,11.5,Top,14.981094639621142,Col
11,26.0,15.0,Bot,16.676095390845475,Col
12,32.0,11.5,Top,14.981094639621142,Col
13,32.0,15.0,Bot,16.676095390845475,Col
14,38.0,11.5,Top,14.981094639621142,Col
15,38.0,15.0,Bot,16.676095390845475,Col
16,44.0,11.5,Top,10.129952238739643,Col
17,44.0,15.0,Bot,11.708023063568225,Col
18,0.0,8.0,Top,9.70455035583351,Col
19,0.0,11.5,Bot,9.70455035583351,Col
20,5.0,8.0,Top,14.63652626443324,Col
21,5.0,11.5,Bot,14.63652626443324,Col
22,10.0,8.0,Top,14.63652626443324,Col
23,10.0,11.5,Bot,14.63652626443324,Col
24,15.0,8.0,Top,14.63652626443324,Col
25,15.0,11.5,Bot,14.63652626443324,Col
26,20.0,8.0,Top,13.99016449041885,Col
27,20.0,11.5,Bot,13.99016449041885,Col
28,26.0,8.0,Top,13.28609388839681,Col
29,26.0,11.5,Bot,13.28609388839681,Col
30,32.0,8.0,Top,13.28609388839681,Col
31,32.0,11.5,Bot,13.28609388839681,Col
32,38.0,8.0,Top,13.28609388839681,Col
33,38.0,11.5,Bot,13.28609388839681,Col
34,44.0,8.0,Top,8.551881413911058,Col
35,44.0,11.5,Bot,8.551881413911058,Col
36,0.0,4.5,Top,10.228219368507565,Col
37,0.0,8.0,Bot,9.966384862170536,Col
38,5.0,4.5,Top,15.220499817576004,Col
39,5.0,8.0,Bot,14.928513041004623,Col
