,X,Y,Loc,Shear,Type
0,0.0,15.0,Right,0.8302156423397301,Beam
1,5.0,15.0,Left,0.8302156423397301,Beam
2,5.0,15.0,Right,0.6333083575532674,Beam
3,10.0,15.0,Left,0.6333083575532674,Beam
4,10.0,15.0,Right,0.6550825046188506,Beam
5,15.0,15.0,Left,0.6550825046188506,Beam
6,15.0,15.0,Right,0.673020916538795,Beam
7,20.0,15.0,Left,0.673020916538795,Beam
8,20.0,15.0,Right,0.4981593349551143,Beam
9,26.0,15.0,Left,0.4981593349551143,Beam
10,26.0,15.0,Right,0.5117925627304053,Beam
11,32.0,15.0,Left,0.5117925627304053,Beam
12,32.0,15.0,Right,0.4916664409078288,Beam
13,38.0,15.0,Left,0.4916664409078288,Beam
14,38.0,15.0,Right,0.6298570963636042,Beam
15,44.0,15.0,Left,0.6298570963636042,Beam
16,0.0,11.5,Right,2.0013634965592337,Beam
17,5.0,11.5,Left,2.0013634965592337,Beam
18,5.0,11.5,Right,1.6238388610885983,Beam
19,10.0,11.5,Left,1.6238388610885983,Beam
20,10.0,11.5,Right,1.6609020527875749,Beam
21,15.0,11.5,Left,1.6609020527875749,Beam
22,15.0,11.5,Right,1.6988442814769633,Beam
23,20.0,11.5,Left,1.6988442814769633,Beam
24,20.0,11.5,Right,1.2429064106653207,Beam
25,26.0,11.5,Left,1.2429064106653207,Beam
26,26.0,11.5,Right,1.271072496135704,Beam
27,32.0,11.5,Left,1.271072496135704,Beam
28,32.0,11.5,Right,1.2375884825118726,Beam
29,38.0,11.5,Left,1.2375884825118726,Beam
30,38.0,11.5,Right,1.492310414927639,Beam
31,44.0,11.5,Left,1.492310414927639,Beam
32,0.0,8.0,Right,2.869360272008895,Beam
33,5.0,8.0,Left,2.869360272008895,Beam
34,5.0,8.0,Right,2.346423079060756,Beam
35,10.0,8.0,Left,2.346423079060756,Beam
36,10.0,8.0,Right,2.3999788415628496,Beam
37,15.0,8.0,Left,2.3999788415628496,Beam
38,15.0,8.0,Right,2.4527834093081524,Beam
39,20.0,8.0,Left,2.4527834093081524,Beam
40,20.0,8.0,Right,1.7913921514741826,Beam
41,26.0,8.0,Left,1.7913921514741826,Beam
42,26.0,8.0,Right,1.8303231022741488,Beam
43,32.0,8.0,Left,1.8303231022741488,Beam
44,32.0,8.0,Right,1.7821066835577632,Beam
45,38.0,8.0,Left,1.7821066835577632,Beam
46,38.0,8.0,Right,2.1318404099292554,Beam
47,44.0,8.0,Left,2.1318404099292554,Beam
48,0.0,4.5,Right,3.760138100104556,Beam
49,5.0,4.5,Left,3.760138100104556,Beam
50,5.0,4.5,Right,2.8417329578141803,Beam
51,10.0,4.5,Left,2.8417329578141803,Beam
52,10.0,4.5,Right,2.91184240457475,Beam
53,15.0,4.5,Left,2.91184240457475,Beam
54,15.0,4.5,Right,2.995608583838769,Beam
55,20.0,4.5,Left,2.995608583838769,Beam
56,20.0,4.5,Right,2.219967171878933,Beam
57,26.0,4.5,Left,2.219967171878933,Beam
58,26.0,4.5,Right,2.285271194770837,Beam
59,32.0,4.5,Left,2.285271194770837,Beam
60,32.0,4.5,Right,2.220316416447081,Beam
61,38.0,4.5,Left,2.220316416447081,Beam
62,38.0,4.5,Right,2.9025848022541094,Beam
63,44.0,4.5,Left,2.9025848022541094,Beam
64,0.0,11.5,Top,1.2743921590231508,Col
65,0.0,15.0,Bot,1.2743921590231508,Col
66,5.0,11.5,Top,1.7936685862485067,Col
67,5.0,15.0,Bot,1.7936685862485067,Col
68,10.0,11.5,Top,1.7936685862485067,Col
69,10.0,15.0,Bot,1.7936685862485067,Col
70,15.0,11.5,Top,1.7936685862485067,Col
71,15.0,15.0,Bot,1.7936685862485067,Col
72,20.0,11.5,Top,1.7289659059392781,Col
73,20.0,15.0,Bot,1.7289659059392781,Col
74,26.0,11.5,Top,1.6574318129355776,Col
75,26.0,15.0,Bot,1.6574318129355776,Col
76,32.0,11.5,Top,1.6574318129355776,Col
77,32.0,15.0,Bot,1.6574318129355776,Col
78,38.0,11.5,Top,1.6574318129355776,Col
79,38.0,15.0,Bot,1.6574318129355776,Col
80,44.0,11.5,Top,1.143340737485316,Col
81,44.0,15.0,Bot,1.143340737485316,Col
82,0.0,8.0,Top,2.0259906934554968,Col
83,0.0,11.5,Bot,2.0259906934554968,Col
84,5.0,8.0,Top,3.055624929436702,Col
85,5.0,11.5,Bot,3.055624929436702,Col
86,10.0,8.0,Top,3.055624929436702,Col
87,10.0,11.5,Bot,3.055624929436702,Col
88,15.0,8.0,Top,3.055624929436702,Col
