INDEX,X,Y,Loc,Axial,Type
0,0,11.5,Top,6.72,Col
1,0,15,Bot,6.72,Col
2,6,11.5,Top,1.344,Col
3,6,15,Bot,1.344,Col
4,11,11.5,Top,-1.344,Col
5,11,15,Bot,-1.344,Col
6,17,11.5,Top,1.344,Col
7,17,15,Bot,1.344,Col
8,22,11.5,Top,-1.344,Col
9,22,15,Bot,-1.344,Col
10,28,11.5,Top,1.344,Col
11,28,15,Bot,1.344,Col
12,33,11.5,Top,-8.064,Col
13,33,15,Bot,-8.064,Col
14,0,8,Top,24.66236111,Col
15,0,11.5,Bot,24.66236111,Col
16,6,8,Top,4.932472222,Col
17,6,11.5,Bot,4.932472222,Col
18,11,8,Top,-4.932472222,Col
19,11,11.5,Bot,-4.932472222,Col
20,17,8,Top,4.932472222,Col
21,17,11.5,Bot,4.932472222,Col
22,22,8,Top,-4.932472222,Col
23,22,11.5,Bot,-4.932472222,Col
24,28,8,Top,4.932472222,Col
25,28,11.5,Bot,4.932472222,Col
26,33,8,Top,-29.59483333,Col
27,33,11.5,Bot,-29.59483333,Col
28,0,4.5,Top,50.10881944,Col
29,0,8,Bot,50.10881944,Col
30,6,4.5,Top,10.02176389,Col
31,6,8,Bot,10.02176389,Col
32,11,4.5,Top,-10.02176389,Col
33,11,8,Bot,-10.02176389,Col
34,17,4.5,Top,10.02176389,Col
35,17,8,Bot,10.02176389,Col
36,22,4.5,Top,-10.02176389,Col
37,22,8,Bot,-10.02176389,Col
38,28,4.5,Top,10.02176389,Col
39,28,8,Bot,10.02176389,Col
40,33,4.5,Top,-60.13058333,Col
41,33,8,Bot,-60.13058333,Col
42,0,0,Top,84.24854167,Col
43,0,4.5,Bot,84.24854167,Col
44,6,0,Top,16.84970833,Col
45,6,4.5,Bot,16.84970833,Col
46,11,0,Top,-16.84970833,Col
47,11,4.5,Bot,-16.84970833,Col
48,17,0,Top,16.84970833,Col
49,17,4.5,Bot,16.84970833,Col
50,22,0,Top,-16.84970833,Col
51,22,4.5,Bot,-16.84970833,Col
52,28,0,Top,16.84970833,Col
53,28,4.5,Bot,16.84970833,Col
54,33,0,Top,-101.09825,Col
55,33,4.5,Bot,-101.09825,Col
56,0,15,Right,126.72,Beam
57,6,15,Left,126.72,Beam
58,6,15,Right,-149.76,Beam
59,11,15,Left,-149.76,Beam
60,11,15,Right,126.72,Beam
61,17,15,Left,126.72,Beam
62,17,15,Right,-149.76,Beam
63,22,15,Left,-149.76,Beam
64,22,15,Right,126.72,Beam
65,28,15,Left,126.72,Beam
66,28,15,Right,-149.76,Beam
67,33,15,Left,-149.76,Beam
68,0,11.5,Right,200.1016667,Beam
69,6,11.5,Left,200.1016667,Beam
70,6,11.5,Right,-261.6183333,Beam
71,11,11.5,Left,-261.6183333,Beam
72,11,11.5,Right,200.1016667,Beam
73,17,11.5,Left,200.1016667,Beam
74,17,11.5,Right,-261.6183333,Beam
75,22,11.5,Left,-261.6183333,Beam
76,22,11.5,Right,200.1016667,Beam
77,28,11.5,Left,200.1016667,Beam
78,28,11.5,Right,-261.6183333,Beam
79,33,11.5,Left,-261.6183333,Beam
80,0,8,Right,248.9875,Beam
81,6,8,Left,248.9875,Beam
82,6,8,Right,-336.2325,Beam
83,11,8,Left,-336.2325,Beam
84,11,8,Right,248.9875,Beam
85,17,8,Left,248.9875,Beam
86,17,8,Right,-336.2325,Beam
87,22,8,Left,-336.2325,Beam
88,22,8,Right,248.9875,Beam
89,28,8,Left,248.9875,Beam
90,28,8,Right,-336.2325,Beam
91,33,8,Left,-336.2325,Beam
92,0,4.5,Right,267.7116667,Beam
93,6,4.5,Left,267.7116667,Beam
94,6,4.5,Right,-369.5883333,Beam
95,11,4.5,Left,-369.5883333,Beam
96,11,4.5,Right,267.7116667,Beam
97,17,4.5,Left,267.7116667,Beam
98,17,4.5,Right,-369.5883333,Beam
99,22,4.5,Left,-369.5883333,Beam
100,22,4.5,Right,267.7116667,Beam
101,28,4.5,Left,267.7116667,Beam
102,28,4.5,Right,-369.5883333,Beam
103,33,4.5,Left,-369.5883333,Beam
