INDEX,X,Y,Loc,Moment,Type
0,0,11.5,Top,20.16,Col
1,0,15,Bot,20.16,Col
2,6,11.5,Top,40.32,Col
3,6,15,Bot,40.32,Col
4,11,11.5,Top,40.32,Col
5,11,15,Bot,40.32,Col
6,17,11.5,Top,40.32,Col
7,17,15,Bot,40.32,Col
8,22,11.5,Top,40.32,Col
9,22,15,Bot,40.32,Col
10,28,11.5,Top,40.32,Col
11,28,15,Bot,40.32,Col
12,33,11.5,Top,20.16,Col
13,33,15,Bot,20.16,Col
14,0,8,Top,33.66708333,Col
15,0,11.5,Bot,33.66708333,Col
16,6,8,Top,67.33416667,Col
17,6,11.5,Bot,67.33416667,Col
18,11,8,Top,67.33416667,Col
19,11,11.5,Bot,67.33416667,Col
20,17,8,Top,67.33416667,Col
21,17,11.5,Bot,67.33416667,Col
22,22,8,Top,67.33416667,Col
23,22,11.5,Bot,67.33416667,Col
24,28,8,Top,67.33416667,Col
25,28,11.5,Bot,67.33416667,Col
26,33,8,Top,33.66708333,Col
27,33,11.5,Bot,33.66708333,Col
28,0,4.5,Top,42.67229167,Col
29,0,8,Bot,42.67229167,Col
30,6,4.5,Top,85.34458333,Col
31,6,8,Bot,85.34458333,Col
32,11,4.5,Top,85.34458333,Col
33,11,8,Bot,85.34458333,Col
34,17,4.5,Top,85.34458333,Col
35,17,8,Bot,85.34458333,Col
36,22,4.5,Top,85.34458333,Col
37,22,8,Bot,85.34458333,Col
38,28,4.5,Top,85.34458333,Col
39,28,8,Bot,85.34458333,Col
40,33,4.5,Top,42.67229167,Col
41,33,8,Bot,42.67229167,Col
42,0,0,Top,59.746875,Col
43,0,4.5,Bot,59.746875,Col
44,6,0,Top,119.49375,Col
45,6,4.5,Bot,119.49375,Col
46,11,0,Top,119.49375,Col
47,11,4.5,Bot,119.49375,Col
48,17,0,Top,119.49375,Col
49,17,4.5,Bot,119.49375,Col
50,22,0,Top,119.49375,Col
51,22,4.5,Bot,119.49375,Col
52,28,0,Top,119.49375,Col
53,28,4.5,Bot,119.49375,Col
54,33,0,Top,59.746875,Col
55,33,4.5,Bot,59.746875,Col
56,0,15,Right,20.16,Beam
57,6,15,Left,20.16,Beam
58,6,15,Right,20.16,Beam
59,11,15,Left,20.16,Beam
60,11,15,Right,20.16,Beam
61,17,15,Left,20.16,Beam
62,17,15,Right,20.16,Beam
63,22,15,Left,20.16,Beam
64,22,15,Right,20.16,Beam
65,28,15,Left,20.16,Beam
66,28,15,Right,20.16,Beam
67,33,15,Left,20.16,Beam
68,0,11.5,Right,53.82708333,Beam
69,6,11.5,Left,53.82708333,Beam
70,6,11.5,Right,53.82708333,Beam
71,11,11.5,Left,53.82708333,Beam
72,11,11.5,Right,53.82708333,Beam
73,17,11.5,Left,53.82708333,Beam
74,17,11.5,Right,53.82708333,Beam
75,22,11.5,Left,53.82708333,Beam
76,22,11.5,Right,53.82708333,Beam
77,28,11.5,Left,53.82708333,Beam
78,28,11.5,Right,53.82708333,Beam
79,33,11.5,Left,53.82708333,Beam
80,0,8,Right,76.339375,Beam
81,6,8,Left,76.339375,Beam
82,6,8,Right,76.339375,Beam
83,11,8,Left,76.339375,Beam
84,11,8,Right,76.339375,Beam
85,17,8,Left,76.339375,Beam
86,17,8,Right,76.339375,Beam
87,22,8,Left,76.339375,Beam
88,22,8,Right,76.339375,Beam
89,28,8,Left,76.339375,Beam
90,28,8,Right,76.339375,Beam
91,33,8,Left,76.339375,Beam
92,0,4.5,Right,102.4191667,Beam
93,6,4.5,Left,102.4191667,Beam
94,6,4.5,Right,102.4191667,Beam
95,11,4.5,Left,102.4191667,Beam
96,11,4.5,Right,102.4191667,Beam
97,17,4.5,Left,102.4191667,Beam
98,17,4.5,Right,102.4191667,Beam
99,22,4.5,Left,102.4191667,Beam
100,22,4.5,Right,102.4191667,Beam
101,28,4.5,Left,102.4191667,Beam
102,28,4.5,Right,102.4191667,Beam
103,33,4.5,Left,102.4191667,Beam
