INDEX,X,Y,Loc,Axial,Type
0,0,11.5,Top,634.375,Col
1,0,15,Bot,634.375,Col
2,5,11.5,Top,0,Col
3,5,15,Bot,0,Col
4,10,11.5,Top,0,Col
5,10,15,Bot,0,Col
6,15,11.5,Top,0,Col
7,15,15,Bot,0,Col
8,20,11.5,Top,-105.7291667,Col
9,20,15,Bot,-105.7291667,Col
10,26,11.5,Top,0,Col
11,26,15,Bot,0,Col
12,32,11.5,Top,0,Col
13,32,15,Bot,0,Col
14,38,11.5,Top,0,Col
15,38,15,Bot,0,Col
16,44,11.5,Top,-528.6458333,Col
17,44,15,Bot,-528.6458333,Col
18,0,8,Top,2.328375,Col
19,0,11.5,Bot,2.328375,Col
20,5,8,Top,0,Col
21,5,11.5,Bot,0,Col
22,10,8,Top,0,Col
23,10,11.5,Bot,0,Col
24,15,8,Top,0,Col
25,15,11.5,Bot,0,Col
26,20,8,Top,-388.0625,Col
27,20,11.5,Bot,-388.0625,Col
28,26,8,Top,0,Col
29,26,11.5,Bot,0,Col
30,32,8,Top,0,Col
31,32,11.5,Bot,0,Col
32,38,8,Top,0,Col
33,38,11.5,Bot,0,Col
34,44,8,Top,-1.9403125,Col
35,44,11.5,Bot,-1.9403125,Col
36,0,4.5,Top,4.7315625,Col
37,0,8,Bot,4.7315625,Col
38,5,4.5,Top,0,Col
39,5,8,Bot,0,Col
40,10,4.5,Top,0,Col
41,10,8,Bot,0,Col
42,15,4.5,Top,0,Col
43,15,8,Bot,0,Col
44,20,4.5,Top,-788.59375,Col
45,20,8,Bot,-788.59375,Col
46,26,4.5,Top,0,Col
47,26,8,Bot,0,Col
48,32,4.5,Top,0,Col
49,32,8,Bot,0,Col
50,38,4.5,Top,0,Col
51,38,8,Bot,0,Col
52,44,4.5,Top,-3.94296875,Col
53,44,8,Bot,-3.94296875,Col
54,0,0,Top,7.956125,Col
55,0,4.5,Bot,7.956125,Col
56,5,0,Top,0,Col
57,5,4.5,Bot,0,Col
58,10,0,Top,0,Col
59,10,4.5,Bot,0,Col
60,15,0,Top,0,Col
61,15,4.5,Bot,0,Col
62,20,0,Top,-1.326020833,Col
63,20,4.5,Bot,-1.326020833,Col
64,26,0,Top,0,Col
65,26,4.5,Bot,0,Col
66,32,0,Top,0,Col
67,32,4.5,Bot,0,Col
68,38,0,Top,0,Col
69,38,4.5,Bot,0,Col
70,44,0,Top,-6.630104167,Col
71,44,4.5,Bot,-6.630104167,Col
72,0,15,Right,-891.75,Beam
73,5,15,Left,-891.75,Beam
74,5,15,Right,889.9375,Beam
75,10,15,Left,889.9375,Beam
76,10,15,Right,-891.75,Beam
77,15,15,Left,-891.75,Beam
78,15,15,Right,889.9375,Beam
79,20,15,Left,889.9375,Beam
80,20,15,Right,-891.75,Beam
81,26,15,Left,-891.75,Beam
82,26,15,Right,889.9375,Beam
83,32,15,Left,889.9375,Beam
84,32,15,Right,-891.75,Beam
85,38,15,Left,-891.75,Beam
86,38,15,Right,889.9375,Beam
87,44,15,Left,889.9375,Beam
88,0,11.5,Right,-883.54375,Beam
89,5,11.5,Left,-883.54375,Beam
90,5,11.5,Right,878.70375,Beam
91,10,11.5,Left,878.70375,Beam
92,10,11.5,Right,-883.54375,Beam
93,15,11.5,Left,-883.54375,Beam
94,15,11.5,Right,878.70375,Beam
95,20,11.5,Left,878.70375,Beam
96,20,11.5,Right,-883.54375,Beam
97,26,11.5,Left,-883.54375,Beam
98,26,11.5,Right,878.70375,Beam
99,32,11.5,Left,878.70375,Beam
100,32,11.5,Right,-883.54375,Beam
101,38,11.5,Left,-883.54375,Beam
102,38,11.5,Right,878.70375,Beam
103,44,11.5,Left,878.70375,Beam
104,0,8,Right,27.276875,Beam
105,5,8,Left,27.276875,Beam
106,5,8,Right,-34.143125,Beam
107,10,8,Left,-34.143125,Beam
108,10,8,Right,27.276875,Beam
109,15,8,Left,27.276875,Beam
110,15,8,Right,-34.143125,Beam
111,20,8,Left,-34.143125,Beam
112,20,8,Right,27.276875,Beam
113,26,8,Left,27.276875,Beam
114,26,8,Right,-34.143125,Beam
115,32,8,Left,-34.143125,Beam
116,32,8,Right,27.276875,Beam
117,38,8,Left,27.276875,Beam
118,38,8,Right,-34.143125,Beam
119,44,8,Left,-34.143125,Beam
120,0,4.5,Right,29.430625,Beam
121,5,4.5,Left,29.430625,Beam
122,5,4.5,Right,-37.449375,Beam
123,10,4.5,Left,-37.449375,Beam
124,10,4.5,Right,29.430625,Beam
125,15,4.5,Left,29.430625,Beam
126,15,4.5,Right,-37.449375,Beam
127,20,4.5,Left,-37.449375,Beam
128,20,4.5,Right,29.430625,Beam
129,26,4.5,Left,29.430625,Beam
130,26,4.5,Right,-37.449375,Beam
131,32,4.5,Left,-37.449375,Beam
132,32,4.5,Right,29.430625,Beam
133,38,4.5,Left,29.430625,Beam
134,38,4.5,Right,-37.449375,Beam
135,44,4.5,Left,-37.449375,Beam
